raw_INTAKE_PRESSURE,raw_RPM,raw_SPEED,ma_43_SPEED,ma_43_RPM,ma_43_INTAKE_PRESSURE,std_w11_SPEED,std_w25_SPEED,std_w11_INTAKE_PRESSURE,std_w25_INTAKE_PRESSURE,std_w11_RPM,std_w25_RPM,d1_SPEED,d2_SPEED,d1_RPM,d2_RPM,d1_INTAKE_PRESSURE,d2_INTAKE_PRESSURE
0.000000000000000000e+00,-4.114285376660476778e+00,-2.662508967980850905e+00,-1.306385786241622826e+00,-8.705432089606769397e-01,-1.345384144018543893e+00,-2.523669881028855144e+00,-6.227165372422500678e-01,-8.488544559978022930e-01,-7.259777961464828344e-01,-9.700360933674100350e-01,-9.096750683489568390e-01,-1.083851660099736769e+00,-1.288015368975808234e-03,3.679117388858759305e-06,-2.174829184445097301e-03,2.655764803690597694e-05,-1.391077680918372146e-03,1.185660636375885556e-04
1.000000000000000000e+00,-5.025436102726934529e-01,3.129809704840271212e-01,-7.125488234253657405e-01,-8.333887546312203076e-01,-1.243896081519114460e+00,-2.337526711883980646e+00,-6.227165372422500678e-01,-8.488544559978022930e-01,-7.259777961464828344e-01,-9.700360933674100350e-01,-9.096750683489568390e-01,-1.083851660099736769e+00,1.043646653096872967e+01,7.632553449348217001e+00,1.052387774424996536e+01,7.427513088695615551e+00,9.383137556183777761e+00,6.606305360456092401e+00
2.000000000000000000e+00,-5.362982062202428235e-01,3.332537418207342506e-01,-7.125488234253657405e-01,-7.944650405717892383e-01,-1.142408019019685250e+00,-2.151383542739105259e+00,-6.227165372422500678e-01,-8.488544559978022930e-01,-7.259777961464828344e-01,-9.700360933674100350e-01,-9.096750683489568390e-01,-1.083851660099736769e+00,-1.288015368975808234e-03,-7.632546091113439068e+00,6.954184985412939501e-02,-7.376854614563046475e+00,-8.909695276376601580e-02,-6.667808291827812539e+00
3.000000000000000000e+00,-5.362982062202428235e-01,3.332537418207342506e-01,-7.372920302093763922e-01,-7.555413265123581690e-01,-1.060188268239281140e+00,-2.032485811662275044e+00,-6.227165372422500678e-01,-8.488544559978022930e-01,-7.259777961464828344e-01,-9.700360933674100350e-01,-9.096750683489568390e-01,-1.083851660099736769e+00,-4.361944547997135824e-01,-3.180192279755623130e-01,-2.174829184445097301e-03,-5.057880118845944906e-02,-1.391077680918372146e-03,6.185862956263249446e-02
4.000000000000000000e+00,-5.700528021677921942e-01,1.441833807070396455e-02,-7.372920302093763922e-01,-7.154381059662779929e-01,-9.798829174619283489e-01,-1.913588080585444384e+00,-6.227165372422500678e-01,-8.488544559978022930e-01,-7.259777961464828344e-01,-9.700360933674100350e-01,-9.096750683489568390e-01,-1.083851660099736769e+00,-1.288015368975808234e-03,3.180265862103400787e-01,-1.130082599518389408e+00,-7.958577222350421421e-01,-8.909695276376601580e-02,-6.162149743535732388e-02
5.000000000000000000e+00,-5.700528021677921942e-01,1.441833807070396455e-02,-7.372920302093763922e-01,-6.753348854201977058e-01,-8.995775666845742258e-01,-1.794690349508614169e+00,2.098736185381922859e+00,-8.488544559978022930e-01,2.389536808871030704e+00,-9.700360933674100350e-01,2.445917406973894703e+00,-1.083851660099736769e+00,-1.288015368975808234e-03,3.679117388858759305e-06,-2.174829184445097301e-03,7.959108375311160222e-01,-1.391077680918372146e-03,6.185862956263249446e-02
6.000000000000000000e+00,-5.025436102726934529e-01,5.829774251047175060e-01,-7.125488234253657405e-01,-6.346419116307925323e-01,-8.187749691531821528e-01,-1.690411191924835466e+00,9.873833603107623480e-01,-8.488544559978022930e-01,-2.248968998821963827e-01,-9.700360933674100350e-01,-1.166591529406512950e-01,-1.083851660099736769e+00,4.336184240617619312e-01,3.180265862103400787e-01,2.009152032942848720e+00,1.419276848653411971e+00,1.740206724847768727e-01,1.235986930616274071e-01
7.000000000000000000e+00,-5.025436102726934529e-01,5.829774251047175060e-01,-7.125488234253657405e-01,-5.939489378413872478e-01,-7.379723716217895246e-01,-1.586132034341057429e+00,1.402957167256761783e+00,-8.488544559978022930e-01,-2.297675762339381755e-01,-9.700360933674100350e-01,-2.140236849655435120e-02,-1.083851660099736769e+00,-1.288015368975808234e-03,-3.180192279755623130e-01,-2.174829184445097301e-03,-1.419223733357338313e+00,-1.391077680918372146e-03,-1.233615609343522296e-01
8.000000000000000000e+00,-1.312430548496503202e-01,1.902578610177376589e-02,-5.393463759372907340e-01,-5.538457172953070717e-01,-6.584128909754953796e-01,-1.483802019889685964e+00,1.636748170255766466e+00,-8.488544559978022930e-01,-2.416226907965227377e-01,-9.700360933674100350e-01,5.254016242069185078e-02,-1.083851660099736769e+00,3.043057060646188194e+00,2.226164028768047309e+00,-1.997202446075699189e+00,-1.407722515439952859e+00,9.633735482304055520e-01,6.792592645525816764e-01
9.000000000000000000e+00,-1.312430548496503202e-01,1.902578610177376589e-02,-5.393463759372907340e-01,-5.137424967492266736e-01,-5.788534103292009014e-01,-1.381472005438316053e+00,1.739959030406887708e+00,-8.488544559978022930e-01,-2.613437680946696373e-01,-9.700360933674100350e-01,1.307792328869764875e-01,-1.083851660099736769e+00,-1.288015368975808234e-03,-2.226156670533269377e+00,-2.174829184445097301e-03,1.407775630736026518e+00,-1.391077680918372146e-03,-6.790221324253062907e-01
