raw_INTAKE_PRESSURE,raw_RPM,raw_SPEED,ma_43_SPEED,ma_43_RPM,ma_43_INTAKE_PRESSURE,std_w11_SPEED,std_w25_SPEED,std_w11_INTAKE_PRESSURE,std_w25_INTAKE_PRESSURE,std_w11_RPM,std_w25_RPM,d1_SPEED,d2_SPEED,d1_RPM,d2_RPM,d1_INTAKE_PRESSURE,d2_INTAKE_PRESSURE
0.000000000000000000e+00,-4.114285376660476778e+00,-2.662508967980850905e+00,-1.306385786241622826e+00,-1.232651700362050073e+00,-2.074745682843444960e+00,-2.936888225099153260e+00,-6.227165372422500678e-01,-8.488544559978022930e-01,-7.259777961464828344e-01,-9.700360933674100350e-01,-9.096750683489568390e-01,-1.083851660099736769e+00,-1.288015368975808234e-03,3.679117388858759305e-06,-2.174829184445097301e-03,2.655764803690597694e-05,-1.391077680918372146e-03,1.185660636375885556e-04
1.000000000000000000e+00,-7.050711859579897878e-01,-1.153108993002383897e+00,-1.281642579457612063e+00,-1.223805401712179552e+00,-2.012714150277037817e+00,-2.836507353780189700e+00,-6.227165372422500678e-01,-8.488544559978022930e-01,-7.259777961464828344e-01,-9.700360933674100350e-01,-9.096750683489568390e-01,-1.083851660099736769e+00,4.336184240617619312e-01,3.180265862103400787e-01,5.337457910142147099e+00,3.767825547383538698e+00,8.856902305686691790e+00,6.235864979462123259e+00
2.000000000000000000e+00,-7.050711859579897878e-01,-1.157716441033453503e+00,-1.281642579457612063e+00,-1.214959103062308587e+00,-1.952298669661258090e+00,-2.736126482461226139e+00,-6.227165372422500678e-01,-8.488544559978022930e-01,-7.259777961464828344e-01,-9.700360933674100350e-01,-9.096750683489568390e-01,-1.083851660099736769e+00,-1.288015368975808234e-03,-3.180192279755623130e-01,-1.847407442048475470e-02,-3.779273650004850271e+00,-1.391077680918372146e-03,-6.235627847334848539e+00
3.000000000000000000e+00,-7.050711859579897878e-01,-1.157716441033453503e+00,-1.232156165889590538e+00,-1.206702557655762842e+00,-1.891883189045478586e+00,-2.635745611142262135e+00,-6.227165372422500678e-01,-8.488544559978022930e-01,-7.259777961464828344e-01,-9.700360933674100350e-01,-9.096750683489568390e-01,-1.083851660099736769e+00,8.685248634924995770e-01,6.360494933032911913e-01,-2.174829184445097301e-03,1.152777556542244203e-02,-1.391077680918372146e-03,1.185660636375885556e-04
4.000000000000000000e+00,-7.050711859579897878e-01,-1.165088357883165227e+00,-1.232156165889590538e+00,-1.198446012249216652e+00,-1.849617214952134825e+00,-2.537313882955705147e+00,-6.227165372422500678e-01,-8.488544559978022930e-01,-7.259777961464828344e-01,-9.700360933674100350e-01,-9.096750683489568390e-01,-1.083851660099736769e+00,-1.288015368975808234e-03,-6.360421350685134811e-01,-2.825362156210855027e-02,-1.837539101977995332e-02,-1.391077680918372146e-03,1.185660636375885556e-04
5.000000000000000000e+00,-7.050711859579897878e-01,-1.165088357883165227e+00,-1.232156165889590538e+00,-1.190779220085995460e+00,-1.807351240858790842e+00,-2.438882154769147714e+00,-4.286056876445105690e-01,-8.488544559978022930e-01,2.078669417465372593e+00,-9.700360933674100350e-01,7.747848711727588489e-01,-1.083851660099736769e+00,-1.288015368975808234e-03,3.679117388858759305e-06,-2.174829184445097301e-03,1.842850631585376403e-02,-1.391077680918372146e-03,1.185660636375885556e-04
6.000000000000000000e+00,-7.050711859579897878e-01,-1.182596660401230571e+00,-1.232156165889590538e+00,-1.183112427922774268e+00,-1.766104622611227359e+00,-2.341424998148794234e+00,-4.801723590133601394e-01,-8.488544559978022930e-01,-7.764046092890121153e-01,-9.700360933674100350e-01,-8.367880328096771736e-01,-1.083851660099736769e+00,-1.288015368975808234e-03,3.679117388858759305e-06,-6.411196108139580185e-02,-4.367807043802812705e-02,-1.391077680918372146e-03,1.185660636375885556e-04
7.000000000000000000e+00,-7.388257819055391584e-01,-1.162323889064523330e+00,-1.182669752321569234e+00,-1.178984155219501284e+00,-1.724858004363664321e+00,-2.243967841528442531e+00,-4.801723590133601394e-01,-8.488544559978022930e-01,-7.764046092890121153e-01,-9.700360933674100350e-01,-6.759418548297407847e-01,-1.083851660099736769e+00,8.685248634924995770e-01,6.360494933032911913e-01,6.954184985412939501e-02,9.433654457059829912e-02,-8.909695276376601580e-02,-6.162149743535732388e-02
8.000000000000000000e+00,-7.388257819055391584e-01,-1.162323889064523330e+00,-1.182669752321569234e+00,-1.174855882516228300e+00,-1.685500923781450666e+00,-2.146510684908088606e+00,-8.087729439925134267e-02,-8.488544559978022930e-01,1.160393424969098780e-01,-9.700360933674100350e-01,8.524477654285605999e-01,-1.083851660099736769e+00,-1.288015368975808234e-03,-6.360421350685134811e-01,-2.174829184445097301e-03,-5.057880118845944906e-02,-1.391077680918372146e-03,6.185862956263249446e-02
9.000000000000000000e+00,-7.388257819055391584e-01,-1.119935367178681140e+00,-1.207412959105579997e+00,-1.171317363056280092e+00,-1.645373110730475874e+00,-2.050028099853939079e+00,1.533021847447503527e-01,-8.488544559978022930e-01,4.397598360892465696e-01,-9.700360933674100350e-01,1.442480969527186518e+00,-1.083851660099736769e+00,-4.361944547997135824e-01,-3.180192279755623130e-01,1.477782269871197596e-01,1.058377624879838358e-01,-1.391077680918372146e-03,1.185660636375885556e-04
1.000000000000000000e+01,-7.388257819055391584e-01,-1.119935367178681140e+00,-1.207412959105579997e+00,-1.167778843596331884e+00,-1.605245297679501304e+00,-1.953545514799788441e+00,5.302493598839653766e-01,-8.488544559978022930e-01,4.312373097580735615e-01,-9.700360933674100350e-01,1.431269208557442552e+00,-1.083851660099736769e+00,-1.288015368975808234e-03,3.180265862103400787e-01,-2.174829184445097301e-03,-1.057846471919100251e-01,-1.391077680918372146e-03,1.185660636375885556e-04
1.100000000000000000e+01,-7.388257819055391584e-01,-1.119935367178681140e+00,-1.281642579457612063e+00,-1.161291557919760020e+00,-1.532249474186526239e+00,-1.847317214083603165e+00,7.495404140524583037e-01,-8.488544559978022930e-01,4.220557823385198137e-01,-9.700360933674100350e-01,1.419773512663734305e+00,-1.083851660099736769e+00,-1.306007333661189040e+00,-9.540650421614647048e-01,-2.174829184445097301e-03,2.655764803690597694e-05,-1.391077680918372146e-03,1.185660636375885556e-04
1.200000000000000000e+01,-7.388257819055391584e-01,-9.485383004228845616e-01,-1.281642579457612063e+00,-1.154804272243188157e+00,-1.459253650693551396e+00,-1.741088913367418334e+00,7.945681000799922344e-01,2.494585542255632060e-01,4.220557823385198137e-01,9.623500404830360733e-01,1.413878190448551564e+00,8.446440313923930798e-01,-1.288015368975808234e-03,9.540724003962424149e-01,6.041570935962301547e-01,4.278718641747787932e-01,-1.391077680918372146e-03,1.185660636375885556e-04
1.300000000000000000e+01,3.750758843635903506e-01,4.336961088980559320e-01,-1.034210511617504880e+00,-1.144778467106668085e+00,-1.385337920705604242e+00,-1.632911469518826930e+00,8.384730708217945638e-01,2.276817809867920372e-01,4.173725767316459612e-01,-2.749733046429743144e-01,1.412078649791607354e+00,4.630001529861283993e-01,4.347776378938401187e+00,3.180232750046900758e+00,4.887598741627452448e+00,3.022546626336955811e+00,2.892902800053053447e+00,2.037540661530469865e+00
1.400000000000000000e+01,3.750758843635903506e-01,4.336961088980559320e-01,-1.034210511617504880e+00,-1.134752661970148013e+00,-1.311422190717656422e+00,-1.524734025670233972e+00,9.023979463294961034e-01,1.976432701884868193e-01,4.050452003645704235e-01,-2.761265203894412434e-01,1.395352664108136853e+00,4.584173714818339240e-01,-1.288015368975808234e-03,-3.180225391812122826e+00,-2.174829184445097301e-03,-3.450338817567623728e+00,-1.391077680918372146e-03,-2.037303529403194258e+00
1.500000000000000000e+01,-6.038073981153416758e-01,-1.099662595841974122e+00,-9.352376844814620505e-01,-1.120008830887029960e+00,-1.226915104868671058e+00,-1.383421148570722181e+00,8.792158630714893564e-01,1.564447357262672700e-01,3.919774899788998068e-01,-2.761265203894412434e-01,1.367059102406927851e+00,4.562474369240377969e-01,1.738337742353975202e+00,1.272095307489193639e+00,-5.426563643738442799e+00,-3.827578765257869442e+00,-2.544861455083499813e+00,-1.790343275407214829e+00
1.600000000000000000e+01,-6.038073981153416758e-01,-1.099662595841974122e+00,-9.352376844814620505e-01,-1.105264999803912351e+00,-1.142408019019685250e+00,-1.242108271471209946e+00,8.144592582973773087e-01,1.215530080502573163e-01,3.781453512164092423e-01,-2.761265203894412434e-01,1.339638615145188671e+00,4.540671963858559090e-01,-1.288015368975808234e-03,-1.272087949254415928e+00,-2.174829184445097301e-03,3.827631880553943322e+00,-1.391077680918372146e-03,1.790580407534489771e+00
1.700000000000000000e+01,-7.050711859579897878e-01,-1.153108993002383897e+00,-9.847240980494834650e-01,-1.088162155747495863e+00,-1.073589068260640822e+00,-1.131007112924007352e+00,4.468614513735453264e-01,8.395934084910018635e-02,3.600138412334253912e-01,-2.761265203894412434e-01,1.279219838934740450e+00,4.575665621445255127e-01,-8.711008942304512281e-01,-6.360421350685134811e-01,-1.912460739225051165e-01,-1.333875701936353131e-01,-2.645087029294612702e-01,-1.851016244333471283e-01
1.800000000000000000e+01,-7.050711859579897878e-01,-1.153108993002383897e+00,-9.847240980494834650e-01,-1.071059311691079152e+00,-1.004770117501596838e+00,-1.019905954376805646e+00,-3.474424681370681944e-01,4.836277425300149202e-02,3.404583096610714898e-01,-2.745497532384896799e-01,1.235322117494848104e+00,4.583186052118564668e-01,-1.288015368975808234e-03,6.360494933032911913e-01,-2.174829184445097301e-03,1.334406854897091377e-01,-1.391077680918372146e-03,1.853387565606223197e-01
1.900000000000000000e+01,-6.375619940628910465e-01,-5.237315919582489210e-01,-9.352376844814620505e-01,-1.054546220877987217e+00,-9.441557381842012875e-01,-9.156267967930268314e-01,-4.508875530879477567e-01,1.046615846134360192e-02,4.373615730799929741e-02,-2.729930437357099282e-01,8.922259185278086369e-01,4.574610000014741051e-01,8.685248634924995770e-01,6.360494933032911913e-01,2.224302070058572056e+00,1.571092925162901111e+00,1.740206724847768727e-01,1.235986930616274071e-01
2.000000000000000000e+01,-6.375619940628910465e-01,-5.237315919582489210e-01,-9.352376844814620505e-01,-1.038033130064895282e+00,-8.835413588668055151e-01,-8.113476392092493494e-01,-6.241415209545596587e-01,-1.697636413029783922e-02,-7.131064847242362115e-01,-2.702930199507128650e-01,4.275788325822574287e-01,5.382353669728895396e-01,-1.288015368975808234e-03,-6.360421350685134811e-01,-2.174829184445097301e-03,-1.571039809866827452e+00,-1.391077680918372146e-03,-1.233615609343522296e-01
