raw_INTAKE_PRESSURE,raw_RPM,raw_SPEED,ma_43_SPEED,ma_43_RPM,ma_43_INTAKE_PRESSURE,std_w11_SPEED,std_w25_SPEED,std_w11_INTAKE_PRESSURE,std_w25_INTAKE_PRESSURE,std_w11_RPM,std_w25_RPM,d1_SPEED,d2_SPEED,d1_RPM,d2_RPM,d1_INTAKE_PRESSURE,d2_INTAKE_PRESSURE
0.000000000000000000e+00,-4.105284665384322906e+00,-2.657379813070687824e+00,-1.316143999399665310e+00,-1.235690849385506107e+00,-1.953025403629729428e+00,-2.973848281293750340e+00,-5.869218192728355987e-01,-8.123578484869367067e-01,-7.227356279543100115e-01,-9.712046466517781917e-01,-8.727280102665599948e-01,-1.039656582169905308e+00,-9.740497402403797871e-04,0.000000000000000000e+00,-2.057142905762907904e-03,6.502757122754517719e-05,-1.260136176687432288e-03,1.198720602788317513e-04
1.000000000000000000e+00,-6.553887155580279122e-01,-5.374174749745072033e-01,-1.045701689153946568e+00,-1.235690849385506107e+00,-1.932824842135366206e+00,-2.930446132679863869e+00,-5.869218192728355987e-01,-8.123578484869367067e-01,-7.227356279543100115e-01,-9.712046466517781917e-01,-8.727280102665599948e-01,-1.039656582169905308e+00,4.861823170948820660e+00,3.577025482387445887e+00,7.641055290771723740e+00,5.395750266648819959e+00,9.609136237223360411e+00,6.767438560925981506e+00
2.000000000000000000e+00,-6.553887155580279122e-01,-1.191760828681250439e+00,-1.094873018289531874e+00,-1.235690849385506107e+00,-1.932824842135366206e+00,-2.833032421346475260e+00,-5.869218192728355987e-01,-8.123578484869367067e-01,-7.227356279543100115e-01,-9.712046466517781917e-01,-8.727280102665599948e-01,-1.039656582169905308e+00,-8.851189989564335336e-01,-4.227393751912435604e+00,-2.361165006633922481e+00,-7.061041672745465902e+00,-1.260136176687432288e-03,-6.767198816805423789e+00
3.000000000000000000e+00,-6.553887155580279122e-01,-1.191760828681250439e+00,-1.070287353721739221e+00,-1.235690849385506107e+00,-1.932824842135366206e+00,-2.735618710013086208e+00,-5.869218192728355987e-01,-8.123578484869367067e-01,-7.227356279543100115e-01,-9.712046466517781917e-01,-8.727280102665599948e-01,-1.039656582169905308e+00,4.410984248678561648e-01,9.755524042874852420e-01,-2.057142905762907904e-03,1.665486488810328680e+00,-1.260136176687432288e-03,1.198720602788317513e-04
4.000000000000000000e+00,-3.509861317498255140e-01,-2.281415840920773541e-01,-1.070287353721739221e+00,-1.235690849385506107e+00,-1.932824842135366206e+00,-2.638204998679698488e+00,-5.869218192728355987e-01,-8.123578484869367067e-01,-7.227356279543100115e-01,-9.712046466517781917e-01,-8.727280102665599948e-01,-1.039656582169905308e+00,-9.740497402403797871e-04,-3.251841347624950807e-01,3.472084872402185773e+00,2.452649227151951550e+00,8.467160144174346037e-01,5.972362269601938500e-01
5.000000000000000000e+00,-3.509861317498255140e-01,2.105346053494699943e-01,-1.070287353721739221e+00,-1.235690849385506107e+00,-1.890645674614128247e+00,-2.542720271729149939e+00,1.062908994449404954e-01,-8.123578484869367067e-01,2.507405906093822967e+00,-9.712046466517781917e-01,2.458700452649746016e+00,-1.039656582169905308e+00,-9.740497402403797871e-04,0.000000000000000000e+00,1.579504650729665061e+00,-1.336009412581319111e+00,-1.260136176687432288e-03,-5.969964828396361334e-01
6.000000000000000000e+00,-3.509861317498255140e-01,2.105346053494699943e-01,-1.045701689153946568e+00,-1.235690849385506107e+00,-1.848466507092890510e+00,-2.447235544778600946e+00,-4.420288150111167380e-01,-8.123578484869367067e-01,-3.639172290764108864e-01,-9.712046466517781917e-01,1.224946656994919003e+00,-1.039656582169905308e+00,4.410984248678561648e-01,3.251841347624950807e-01,-2.057142905762907904e-03,-1.116444731856949701e+00,-1.260136176687432288e-03,1.198720602788317513e-04
7.000000000000000000e+00,-3.509861317498255140e-01,2.068636748938921799e-01,-1.045701689153946568e+00,-1.235690849385506107e+00,-1.808732150803855632e+00,-2.351750817828051510e+00,-3.418568438612320515e-01,-8.123578484869367067e-01,-3.865144809169293594e-01,-9.712046466517781917e-01,1.328649370056656620e+00,-1.039656582169905308e+00,-9.740497402403797871e-04,-3.251841347624950807e-01,-1.529196963074556936e-02,-9.278150331937117315e-03,-1.260136176687432288e-03,1.198720602788317513e-04
8.000000000000000000e+00,-2.833411131257805304e-01,2.068636748938921799e-01,-1.045701689153946568e+00,-1.235690849385506107e+00,-1.768997794514820754e+00,-2.254337106494662901e+00,-3.000069229952726513e-01,-8.123578484869367067e-01,-3.997751158822129280e-01,-9.712046466517781917e-01,1.130371244584595924e+00,-1.039656582169905308e+00,-9.740497402403797871e-04,0.000000000000000000e+00,-2.057142905762907904e-03,9.408205474392207154e-03,1.871790083997841025e-01,1.328123953713710448e-01
9.000000000000000000e+00,-2.833411131257805304e-01,-3.908866562982055148e-02,-1.094873018289531874e+00,-1.235690849385506107e+00,-1.729806729610720240e+00,-2.157887887352694545e+00,-2.770783164190360193e-01,-8.123578484869367067e-01,-4.136831717350099580e-01,-9.712046466517781917e-01,8.942828297656882919e-01,-1.039656582169905308e+00,-8.851189989564335336e-01,-6.503682695249901613e-01,-8.887905334796011303e-01,-6.259278919408048925e-01,-1.260136176687432288e-03,-1.325726512508133836e-01
1.000000000000000000e+01,-4.862761689979154811e-01,-3.908866562982055148e-02,-1.094873018289531874e+00,-1.232765324492260506e+00,-1.690615664706619059e+00,-2.061438668210725744e+00,-2.892050985498135218e-01,-8.123578484869367067e-01,-3.960987080499046575e-01,-9.712046466517781917e-01,1.083829806307867294e+00,-1.039656582169905308e+00,-9.740497402403797871e-04,6.503682695249901613e-01,-2.057142905762907904e-03,6.260579470832599025e-01,-5.665775699061020854e-01,-3.979576978729977843e-01
1.100000000000000000e+01,-5.877436969339829842e-01,-9.302070337213319551e-01,-1.168630011992909612e+00,-1.229839799599014682e+00,-1.651770330683839605e+00,-1.964989449068757166e+00,-3.031272430848287458e-01,-8.123578484869367067e-01,-3.827384294159208999e-01,-9.712046466517781917e-01,1.101531540683508448e+00,-1.039656582169905308e+00,-1.327191473564530044e+00,-9.755524042874852420e-01,-3.214811330395304090e+00,-2.267991408421994315e+00,-2.839188530413947475e-01,1.991586570269171519e-01
1.200000000000000000e+01,-5.877436969339829842e-01,-9.302070337213319551e-01,-1.168630011992909612e+00,-1.226914274705768859e+00,-1.612924996661059929e+00,-1.867575737735368557e+00,-3.418568438612320515e-01,-2.449905551569903361e-01,-3.865144809169293594e-01,1.535529054255352355e+00,1.096971513313221180e+00,1.737164205113628235e+00,-9.740497402403797871e-04,9.755524042874852420e-01,-2.057142905762907904e-03,2.268121463564449325e+00,-1.260136176687432288e-03,1.991586570269171519e-01
1.300000000000000000e+01,-6.215662062460054482e-01,-7.145398694561361230e-01,-1.144044347425117181e+00,-1.223988749812523258e+00,-1.573215335434977158e+00,-1.770162026401979949e+00,-4.127884899397404883e-01,-2.606027833910108393e-01,-4.078876595963943918e-01,7.948220963304317710e-01,9.656003926055904962e-01,1.736706058619615245e+00,4.410984248678561648e-01,3.251841347624950807e-01,7.754889271869683798e-01,5.489767293821514738e-01,-9.547970846492320751e-02,-6.622638959526727653e-02
1.400000000000000000e+01,-6.215662062460054482e-01,-7.145398694561361230e-01,-1.144044347425117181e+00,-1.221063224919277435e+00,-1.533505674208893499e+00,-1.672748315068591340e+00,-3.996925377839303795e-01,-2.439219188966747220e-01,-4.947750508713435469e-01,7.936772938067995220e-01,6.856752303070772214e-01,1.722721310950101170e+00,-9.740497402403797871e-04,-3.251841347624950807e-01,-2.057142905762907904e-03,-5.488466742396963527e-01,-1.260136176687432288e-03,6.646613371582493768e-02
1.500000000000000000e+01,-6.215662062460054482e-01,-1.006378840674571284e+00,-1.094873018289531874e+00,-1.218137700026031611e+00,-1.493746622856907624e+00,-1.575334603735202732e+00,-3.468783056933890108e-01,-2.186963614282144974e-01,9.237020926601421378e-01,7.925008166666233089e-01,4.130842618588546067e-01,1.720443520219718359e+00,8.831708994759526199e-01,6.503682695249901613e-01,-1.054225867541884520e+00,-7.427176157303631010e-01,-1.260136176687432288e-03,1.198720602788317513e-04
1.600000000000000000e+01,-6.553887155580279122e-01,-1.006378840674571284e+00,-1.094873018289531874e+00,-1.215212175132785788e+00,-1.453987571504921084e+00,-1.477920892401814790e+00,-1.611827609998189026e-01,-2.085998303162493184e-01,1.497912344269966667e+00,7.912926047195754098e-01,3.336292359889246328e-01,1.720069670165359721e+00,-9.740497402403797871e-04,-6.503682695249901613e-01,-2.057142905762907904e-03,7.428476708728181110e-01,-9.547970846492320751e-02,-6.622638959526727653e-02
1.700000000000000000e+01,-6.553887155580279122e-01,-1.193596293909039208e+00,-1.144044347425117181e+00,-1.212286650239539965e+00,-1.414598946097207488e+00,-1.377613704494166535e+00,-1.011314924097104356e-02,-2.060950092688553781e-01,1.849978760391571830e+00,7.758184311636696640e-01,6.091358099243926461e-01,1.676410817287263377e+00,-8.851189989564335336e-01,-6.503682695249901613e-01,-6.770333058798786441e-01,-4.764370454901701857e-01,-1.260136176687432288e-03,6.646613371582493768e-02
1.800000000000000000e+01,-6.553887155580279122e-01,-1.193596293909039208e+00,-1.144044347425117181e+00,-1.209361125346294363e+00,-1.375210320689494115e+00,-1.277306516586518947e+00,9.581860366914699001e-02,-2.111123049189104206e-01,1.837773448277622901e+00,7.587075769587906526e-01,1.296002775796383677e+00,1.553611486524939078e+00,-9.740497402403797871e-04,6.503682695249901613e-01,-2.057142905762907904e-03,4.765671006326253623e-01,-1.260136176687432288e-03,1.198720602788317513e-04
1.900000000000000000e+01,-6.553887155580279122e-01,-1.228470133237028472e+00,-1.217801341128494919e+00,-1.206435600453048540e+00,-1.333500359364336418e+00,-1.176999328678870693e+00,1.517113386168640610e-01,-2.531994714167410954e-01,1.831789922143849836e+00,7.406384532800260878e-01,1.590047447577010775e+00,1.411407653336792745e+00,-1.327191473564530044e+00,-9.755524042874852420e-01,-1.277879967930981853e-01,-8.869516250883674457e-02,-1.260136176687432288e-03,1.198720602788317513e-04
2.000000000000000000e+01,-2.549449237031287563e+00,-1.228470133237028472e+00,-1.217801341128494919e+00,-1.203510075559802717e+00,-1.291790398039177834e+00,-1.076692140771224881e+00,1.732772184997834475e-01,-3.003083710689960495e-01,1.825757799597967912e+00,7.215820020363892251e-01,1.674384182328852333e+00,1.247137687367255277e+00,-9.740497402403797871e-04,9.755524042874852420e-01,-2.057142905762907904e-03,8.882521765129183788e-02,-5.277556184317890420e+00,-3.715270780650303362e+00
2.100000000000000000e+01,-2.549449237031287563e+00,-1.904839069677238372e+00,-1.291558334831872878e+00,-1.198829235730609621e+00,-1.231806090129876630e+00,-9.783139372464154659e-01,6.866736777516496693e-02,-3.534859013834318331e-01,1.808532969773768873e+00,6.960760307036513161e-01,1.645609452521666682e+00,1.054394512106787252e+00,-1.327191473564530044e+00,-9.755524042874852420e-01,-2.440573966983818455e+00,-1.721415501086861477e+00,-1.260136176687432288e-03,3.715510524770860634e+00
2.200000000000000000e+01,-2.549449237031287563e+00,-1.904839069677238372e+00,-1.291558334831872878e+00,-1.193563290922767361e+00,-1.171772392094672544e+00,-8.789712415301873527e-01,-1.225938225566325784e-01,-3.800606058885677152e-01,1.797199941539383561e+00,6.691922896604663995e-01,1.616168828087013232e+00,8.990557391537045140e-01,-9.740497402403797871e-04,9.755524042874852420e-01,-2.057142905762907904e-03,1.721545556229316709e+00,-1.260136176687432288e-03,1.198720602788317513e-04
2.300000000000000000e+01,-6.553887155580279122e-01,-2.655544347842898834e+00,-1.291558334831872878e+00,-1.192978185944118197e+00,-1.148608423046123539e+00,-8.645038586588923435e-01,-2.666487023988077798e-01,-4.088721322686631465e-01,1.785675203002137890e+00,6.596294244402720608e-01,1.620388603866101285e+00,7.180475197914002461e-01,-9.740497402403797871e-04,0.000000000000000000e+00,-2.708579208164717311e+00,-1.910614853625945742e+00,5.275035911964515378e+00,3.715510524770860634e+00
2.400000000000000000e+01,-6.553887155580279122e-01,-2.655544347842898834e+00,-1.291558334831872878e+00,-1.191222871008170703e+00,-1.107836874113123704e+00,-8.500364757875974453e-01,-5.327363731690530901e-01,-4.088721322686631465e-01,1.785675203002137890e+00,6.563576012273376614e-01,1.624590502998455310e+00,7.007863004594687695e-01,-9.740497402403797871e-04,0.000000000000000000e+00,-2.057142905762907904e-03,1.910744908768400974e+00,-1.260136176687432288e-03,-3.715270780650303362e+00
2.500000000000000000e+01,-6.553887155580279122e-01,-2.655544347842898834e+00,-1.291558334831872878e+00,-1.188882451093574044e+00,-1.056866264181136383e+00,-8.249596788106854373e-01,-6.343728194159949929e-01,-4.088721322686631465e-01,1.779643636933983641e+00,6.530460693887273349e-01,1.632498336602435929e+00,6.827667270895392271e-01,-9.740497402403797871e-04,0.000000000000000000e+00,-2.057142905762907904e-03,6.502757122754517719e-05,-1.260136176687432288e-03,1.198720602788317513e-04
2.600000000000000000e+01,-7.230337341820729513e-01,-1.088057043311177363e+00,-1.291558334831872878e+00,-1.186542031178977608e+00,-1.031825470348270324e+00,-8.085633115565514784e-01,-4.360427794770440069e-01,-4.159132019642196587e-01,1.429985168820869790e+00,6.567752713453234303e-01,1.640338560099336762e+00,6.340458597027949228e-01,-9.740497402403797871e-04,0.000000000000000000e+00,5.649213868661833615e+00,3.989601992222538307e+00,-1.896992807531589775e-01,-1.325726512508133836e-01
2.700000000000000000e+01,-7.230337341820729513e-01,-1.088057043311177363e+00,-1.291558334831872878e+00,-1.184201611264380949e+00,-1.016144105374040096e+00,-7.950604208766771652e-01,-2.666487023988077798e-01,-4.231615318075085952e-01,8.553615196932022879e-01,6.604630806163601653e-01,1.681932179262535909e+00,5.815612048841745096e-01,-9.740497402403797871e-04,0.000000000000000000e+00,-2.057142905762907904e-03,-3.989471937080083297e+00,-1.260136176687432288e-03,1.328123953713710448e-01
