Time,raw_INTAKE_PRESSURE,raw_RPM,raw_SPEED
0.000000000000000000e+00,nan,1.095000000000000000e+03,7.000000000000000000e+00
1.000000000000000000e+00,1.050000000000000000e+02,nan,nan
2.000000000000000000e+00,1.040000000000000000e+02,8.120000000000000000e+02,9.000000000000000000e+00
3.000000000000000000e+00,nan,nan,nan
4.000000000000000000e+00,1.020000000000000000e+02,7.705000000000000000e+02,8.000000000000000000e+00
5.000000000000000000e+00,nan,nan,nan
6.000000000000000000e+00,1.060000000000000000e+02,1.396500000000000000e+03,nan
7.000000000000000000e+00,nan,nan,nan
8.000000000000000000e+00,1.050000000000000000e+02,1.040000000000000000e+03,1.400000000000000000e+01
9.000000000000000000e+00,nan,nan,nan
1.000000000000000000e+01,1.020000000000000000e+02,7.865000000000000000e+02,1.300000000000000000e+01
1.100000000000000000e+01,nan,nan,nan
1.200000000000000000e+01,1.010000000000000000e+02,7.740000000000000000e+02,1.600000000000000000e+01
1.300000000000000000e+01,nan,nan,nan
1.400000000000000000e+01,nan,7.745000000000000000e+02,1.800000000000000000e+01
1.500000000000000000e+01,nan,nan,nan
1.600000000000000000e+01,nan,7.610000000000000000e+02,1.700000000000000000e+01
1.700000000000000000e+01,nan,nan,nan
1.800000000000000000e+01,nan,7.605000000000000000e+02,1.300000000000000000e+01
1.900000000000000000e+01,nan,nan,nan
2.000000000000000000e+01,nan,7.430000000000000000e+02,1.000000000000000000e+01
2.100000000000000000e+01,nan,nan,nan
2.200000000000000000e+01,1.020000000000000000e+02,1.304000000000000000e+03,9.000000000000000000e+00
2.300000000000000000e+01,nan,nan,nan
2.400000000000000000e+01,1.030000000000000000e+02,9.805000000000000000e+02,1.300000000000000000e+01
2.500000000000000000e+01,nan,nan,nan
2.600000000000000000e+01,1.050000000000000000e+02,1.338000000000000000e+03,1.600000000000000000e+01
2.700000000000000000e+01,nan,nan,nan
2.800000000000000000e+01,1.030000000000000000e+02,1.117500000000000000e+03,1.700000000000000000e+01
2.900000000000000000e+01,nan,nan,nan
3.000000000000000000e+01,1.040000000000000000e+02,1.332000000000000000e+03,1.900000000000000000e+01
3.100000000000000000e+01,nan,nan,2.000000000000000000e+01
3.200000000000000000e+01,1.030000000000000000e+02,1.398500000000000000e+03,nan
3.300000000000000000e+01,nan,1.291500000000000000e+03,nan
3.400000000000000000e+01,nan,nan,nan
3.500000000000000000e+01,nan,1.159500000000000000e+03,1.800000000000000000e+01
3.600000000000000000e+01,1.050000000000000000e+02,nan,nan
3.700000000000000000e+01,1.020000000000000000e+02,1.233500000000000000e+03,1.700000000000000000e+01
3.800000000000000000e+01,nan,nan,nan
3.900000000000000000e+01,nan,1.268500000000000000e+03,1.800000000000000000e+01
4.000000000000000000e+01,nan,nan,nan
4.100000000000000000e+01,1.040000000000000000e+02,1.076000000000000000e+03,1.700000000000000000e+01
4.200000000000000000e+01,nan,nan,nan
4.300000000000000000e+01,nan,9.265000000000000000e+02,1.600000000000000000e+01
4.400000000000000000e+01,nan,nan,nan
4.500000000000000000e+01,1.020000000000000000e+02,7.675000000000000000e+02,1.700000000000000000e+01
4.600000000000000000e+01,nan,nan,nan
4.700000000000000000e+01,1.010000000000000000e+02,7.575000000000000000e+02,1.600000000000000000e+01
4.800000000000000000e+01,nan,nan,nan
4.900000000000000000e+01,1.050000000000000000e+02,1.410500000000000000e+03,nan
5.000000000000000000e+01,nan,nan,nan
5.100000000000000000e+01,nan,1.428000000000000000e+03,2.100000000000000000e+01
5.200000000000000000e+01,nan,nan,nan
5.300000000000000000e+01,1.030000000000000000e+02,1.227500000000000000e+03,2.000000000000000000e+01
5.400000000000000000e+01,nan,nan,nan
5.500000000000000000e+01,1.040000000000000000e+02,9.775000000000000000e+02,1.600000000000000000e+01
5.600000000000000000e+01,nan,nan,nan
5.700000000000000000e+01,1.020000000000000000e+02,7.790000000000000000e+02,1.200000000000000000e+01
5.800000000000000000e+01,nan,nan,nan
5.900000000000000000e+01,nan,7.330000000000000000e+02,3.000000000000000000e+00
6.000000000000000000e+01,nan,nan,nan
6.100000000000000000e+01,4.500000000000000000e+01,6.915000000000000000e+02,0.000000000000000000e+00
6.200000000000000000e+01,nan,nan,nan
6.300000000000000000e+01,1.010000000000000000e+02,0.000000000000000000e+00,nan
6.400000000000000000e+01,nan,nan,nan
6.500000000000000000e+01,nan,nan,nan
6.600000000000000000e+01,nan,nan,nan
6.700000000000000000e+01,nan,nan,nan
6.800000000000000000e+01,nan,nan,nan
6.900000000000000000e+01,nan,nan,nan
7.000000000000000000e+01,nan,nan,nan
7.100000000000000000e+01,nan,nan,nan
7.200000000000000000e+01,nan,nan,nan
7.300000000000000000e+01,nan,nan,nan
7.400000000000000000e+01,nan,nan,nan
7.500000000000000000e+01,nan,nan,nan
7.600000000000000000e+01,nan,nan,nan
7.700000000000000000e+01,nan,nan,nan
7.800000000000000000e+01,nan,nan,nan
7.900000000000000000e+01,nan,nan,nan
8.000000000000000000e+01,9.900000000000000000e+01,1.163500000000000000e+03,nan
8.100000000000000000e+01,nan,nan,1.200000000000000000e+01
8.200000000000000000e+01,1.240000000000000000e+02,1.856000000000000000e+03,nan
8.300000000000000000e+01,nan,nan,nan
8.400000000000000000e+01,1.230000000000000000e+02,1.610000000000000000e+03,2.200000000000000000e+01
8.500000000000000000e+01,nan,nan,2.500000000000000000e+01
8.600000000000000000e+01,1.170000000000000000e+02,1.804500000000000000e+03,nan
8.700000000000000000e+01,nan,nan,3.000000000000000000e+01
8.800000000000000000e+01,1.570000000000000000e+02,1.997000000000000000e+03,nan
8.900000000000000000e+01,1.860000000000000000e+02,1.706000000000000000e+03,3.900000000000000000e+01
9.000000000000000000e+01,nan,nan,nan
9.100000000000000000e+01,1.330000000000000000e+02,1.789500000000000000e+03,4.400000000000000000e+01
9.200000000000000000e+01,nan,nan,nan
9.300000000000000000e+01,1.340000000000000000e+02,1.510500000000000000e+03,4.700000000000000000e+01
9.400000000000000000e+01,nan,nan,nan
9.500000000000000000e+01,1.610000000000000000e+02,1.711500000000000000e+03,5.300000000000000000e+01
9.600000000000000000e+01,nan,nan,nan
9.700000000000000000e+01,1.570000000000000000e+02,1.880000000000000000e+03,5.800000000000000000e+01
9.800000000000000000e+01,nan,nan,nan
9.900000000000000000e+01,1.230000000000000000e+02,1.531500000000000000e+03,5.900000000000000000e+01
1.000000000000000000e+02,nan,nan,nan
1.010000000000000000e+02,1.110000000000000000e+02,1.494000000000000000e+03,nan
1.020000000000000000e+02,nan,nan,nan
1.030000000000000000e+02,1.120000000000000000e+02,1.435000000000000000e+03,nan
1.040000000000000000e+02,nan,nan,nan
1.050000000000000000e+02,1.080000000000000000e+02,1.455000000000000000e+03,nan
1.060000000000000000e+02,nan,nan,5.800000000000000000e+01
1.070000000000000000e+02,1.050000000000000000e+02,1.486000000000000000e+03,nan
1.080000000000000000e+02,nan,nan,nan
1.090000000000000000e+02,1.570000000000000000e+02,1.388000000000000000e+03,nan
1.100000000000000000e+02,2.190000000000000000e+02,1.967500000000000000e+03,6.000000000000000000e+01
1.110000000000000000e+02,nan,nan,nan
1.120000000000000000e+02,nan,2.019000000000000000e+03,6.300000000000000000e+01
1.130000000000000000e+02,1.730000000000000000e+02,nan,nan
1.140000000000000000e+02,1.270000000000000000e+02,2.000500000000000000e+03,nan
1.150000000000000000e+02,nan,nan,nan
1.160000000000000000e+02,1.460000000000000000e+02,1.710500000000000000e+03,nan
1.170000000000000000e+02,nan,nan,nan
1.180000000000000000e+02,1.130000000000000000e+02,1.531500000000000000e+03,6.500000000000000000e+01
1.190000000000000000e+02,nan,nan,nan
1.200000000000000000e+02,1.090000000000000000e+02,1.584500000000000000e+03,6.700000000000000000e+01
1.210000000000000000e+02,nan,nan,nan
1.220000000000000000e+02,1.120000000000000000e+02,1.604000000000000000e+03,6.800000000000000000e+01
1.230000000000000000e+02,nan,nan,nan
1.240000000000000000e+02,1.130000000000000000e+02,1.600000000000000000e+03,nan
1.250000000000000000e+02,nan,nan,nan
1.260000000000000000e+02,nan,1.596500000000000000e+03,nan
1.270000000000000000e+02,nan,nan,nan
1.280000000000000000e+02,nan,1.589500000000000000e+03,6.700000000000000000e+01
1.290000000000000000e+02,nan,nan,nan
1.300000000000000000e+02,1.160000000000000000e+02,1.546000000000000000e+03,6.600000000000000000e+01
1.310000000000000000e+02,nan,nan,nan
1.320000000000000000e+02,1.060000000000000000e+02,1.548000000000000000e+03,nan
1.330000000000000000e+02,nan,nan,6.800000000000000000e+01
1.340000000000000000e+02,1.610000000000000000e+02,1.605000000000000000e+03,nan
1.350000000000000000e+02,nan,1.693000000000000000e+03,7.300000000000000000e+01
1.360000000000000000e+02,1.670000000000000000e+02,nan,nan
1.370000000000000000e+02,1.160000000000000000e+02,1.664000000000000000e+03,7.100000000000000000e+01
1.380000000000000000e+02,nan,nan,nan
1.390000000000000000e+02,1.130000000000000000e+02,1.604000000000000000e+03,6.800000000000000000e+01
1.400000000000000000e+02,nan,nan,nan
1.410000000000000000e+02,1.120000000000000000e+02,1.539500000000000000e+03,6.500000000000000000e+01
1.420000000000000000e+02,nan,nan,nan
1.430000000000000000e+02,1.200000000000000000e+02,1.554000000000000000e+03,nan
1.440000000000000000e+02,nan,nan,nan
