Time,raw_INTAKE_PRESSURE,raw_RPM,raw_SPEED
3.500000000000000000e+01,1.090000000000000000e+02,1.518000000000000000e+03,1.800000000000000000e+01
3.600000000000000000e+01,nan,nan,nan
3.700000000000000000e+01,1.070000000000000000e+02,1.325000000000000000e+03,2.000000000000000000e+01
3.800000000000000000e+01,nan,nan,nan
3.900000000000000000e+01,1.050000000000000000e+02,1.215000000000000000e+03,1.900000000000000000e+01
4.000000000000000000e+01,nan,nan,nan
4.100000000000000000e+01,1.070000000000000000e+02,1.352000000000000000e+03,nan
4.200000000000000000e+01,nan,nan,nan
4.300000000000000000e+01,1.050000000000000000e+02,1.343500000000000000e+03,nan
4.400000000000000000e+01,nan,nan,2.000000000000000000e+01
4.500000000000000000e+01,1.080000000000000000e+02,1.515000000000000000e+03,nan
4.600000000000000000e+01,nan,nan,2.200000000000000000e+01
4.700000000000000000e+01,nan,1.541500000000000000e+03,nan
4.800000000000000000e+01,nan,nan,nan
4.900000000000000000e+01,1.100000000000000000e+02,1.371500000000000000e+03,nan
5.000000000000000000e+01,nan,nan,1.800000000000000000e+01
5.100000000000000000e+01,1.060000000000000000e+02,1.124500000000000000e+03,nan
5.200000000000000000e+01,nan,nan,1.200000000000000000e+01
5.300000000000000000e+01,1.030000000000000000e+02,7.835000000000000000e+02,nan
5.400000000000000000e+01,nan,7.520000000000000000e+02,6.000000000000000000e+00
5.500000000000000000e+01,1.020000000000000000e+02,nan,nan
5.600000000000000000e+01,1.220000000000000000e+02,1.707500000000000000e+03,1.300000000000000000e+01
5.700000000000000000e+01,nan,nan,nan
5.800000000000000000e+01,1.170000000000000000e+02,1.602000000000000000e+03,2.100000000000000000e+01
5.900000000000000000e+01,nan,nan,nan
6.000000000000000000e+01,1.070000000000000000e+02,1.272000000000000000e+03,2.000000000000000000e+01
6.100000000000000000e+01,nan,nan,nan
6.200000000000000000e+01,1.060000000000000000e+02,9.795000000000000000e+02,1.500000000000000000e+01
6.300000000000000000e+01,nan,nan,nan
6.400000000000000000e+01,1.030000000000000000e+02,1.142000000000000000e+03,1.300000000000000000e+01
6.500000000000000000e+01,nan,nan,nan
6.600000000000000000e+01,1.090000000000000000e+02,1.177500000000000000e+03,1.600000000000000000e+01
6.700000000000000000e+01,nan,nan,nan
6.800000000000000000e+01,1.030000000000000000e+02,7.815000000000000000e+02,1.200000000000000000e+01
6.900000000000000000e+01,nan,nan,nan
7.000000000000000000e+01,1.050000000000000000e+02,1.292000000000000000e+03,9.000000000000000000e+00
7.100000000000000000e+01,nan,nan,nan
7.200000000000000000e+01,1.230000000000000000e+02,1.795500000000000000e+03,1.500000000000000000e+01
7.300000000000000000e+01,nan,nan,2.400000000000000000e+01
