raw_RPM,raw_SPEED,ma_12_RPM,ma_12_SPEED,d1_RPM,d2_RPM,d1_SPEED,d2_SPEED
1.600000000000000000e+01,-3.558254630397658658e-01,-1.291653256510572723e+00,-9.965696554899191595e-01,-1.236767519924703462e+00,3.002662369820236599e+00,2.121050384458272209e+00,-9.740765687880125010e-04,0.000000000000000000e+00
1.700000000000000000e+01,-3.558254630397658658e-01,-1.193308788184964664e+00,-8.569055612425879875e-01,-1.214107633260070873e+00,-2.148642104456053269e-03,-2.121048891751286192e+00,1.767267118752091193e+00,1.300700713489440608e+00
1.800000000000000000e+01,-1.198358871513522272e+00,-1.193308788184964664e+00,-7.172414669952571487e-01,-1.177027818717944818e+00,-3.040052286319067765e+00,-2.144408469263453743e+00,-9.740765687880125010e-04,-1.300700713489440608e+00
1.900000000000000000e+01,-1.198358871513522272e+00,-1.193308788184964664e+00,-5.703083058543512163e-01,-1.139948004175818763e+00,-2.148642104456053269e-03,2.144409961970439316e+00,-9.740765687880125010e-04,0.000000000000000000e+00
2.000000000000000000e+01,-5.274526388399755072e-01,-1.119550436940758287e+00,-4.233751447134457280e-01,-1.088448261756199242e+00,2.416922778288661089e+00,1.707585862492913220e+00,1.325206819921871393e+00,9.755255351170804001e-01
2.100000000000000000e+01,-5.274526388399755072e-01,-1.119550436940758287e+00,-2.628839486923898461e-01,-1.034888529639795163e+00,-2.148642104456053269e-03,-1.707584369785927425e+00,-9.740765687880125010e-04,-9.755255351170804001e-01
2.200000000000000000e+01,3.912575375023231161e-01,-9.966198515337481023e-01,-2.200046215111917114e-01,-9.772088181298211884e-01,3.310423850116487987e+00,2.338294455321427101e+00,2.209327417582310993e+00,1.625875891861800593e+00
2.300000000000000000e+01,3.912575375023231161e-01,-8.245170319639335554e-01,-2.512861116262374850e-01,-9.195291066198474361e-01,-2.148642104456053269e-03,-2.338292962614441084e+00,3.093448015242750593e+00,6.503503567447203038e-01
2.400000000000000000e+01,4.912969073537821751e-01,-8.245170319639335554e-01,-2.427919210989141485e-01,-8.680293642002281373e-01,3.585610498556667247e-01,2.546201412361150940e-01,-9.740765687880125010e-04,-2.276226248606521008e+00
2.500000000000000000e+01,4.912969073537821751e-01,-6.524142123941191196e-01,-1.593201641861819173e-01,-8.165296217806083945e-01,-2.148642104456053269e-03,-2.546186485291292434e-01,3.093448015242750593e+00,2.276226248606521008e+00
