raw_RPM,raw_SPEED,ma_12_RPM,ma_12_SPEED,d1_RPM,d2_RPM,d1_SPEED,d2_SPEED
0.000000000000000000e+00,-2.657648762007283061e+00,-1.316239373591974848e+00,-2.163622428998757563e+00,-1.300627200525031668e+00,-2.148642104456053269e-03,7.463534929244180073e-07,-9.740765687880125010e-04,0.000000000000000000e+00
1.000000000000000000e+00,-1.148798082779771912e+00,-1.291653256510572723e+00,-2.030247302738001913e+00,-1.300627200525031668e+00,5.438280106358313049e+00,3.840315289353776418e+00,4.410862222614317929e-01,3.251751783723601519e-01
2.000000000000000000e+00,-1.148798082779771912e+00,-1.291653256510572723e+00,-1.896872176477246930e+00,-1.300627200525031668e+00,-2.148642104456053269e-03,-3.840313796646789957e+00,-9.740765687880125010e-04,-3.251751783723601519e-01
3.000000000000000000e+00,-1.146044705627896843e+00,-1.291653256510572723e+00,-1.762680301127325544e+00,-1.300627200525031668e+00,7.779147582519803372e-03,7.008619607143076052e-03,-9.740765687880125010e-04,0.000000000000000000e+00
4.000000000000000000e+00,-1.147880290395813407e+00,-1.291653256510572723e+00,-1.628488425777404380e+00,-1.300627200525031668e+00,-8.767168562439956250e-03,-1.167904240259066105e-02,-9.740765687880125010e-04,0.000000000000000000e+00
5.000000000000000000e+00,-1.147880290395813407e+00,-1.291653256510572723e+00,-1.494296550427482995e+00,-1.300627200525031668e+00,-2.148642104456053269e-03,4.672661855926359131e-03,-9.740765687880125010e-04,0.000000000000000000e+00
6.000000000000000000e+00,-1.157058214235396898e+00,-1.291653256510572723e+00,-1.359941325259729661e+00,-1.300627200525031668e+00,-3.524127439437557685e-02,-2.335883115867425086e-02,-9.740765687880125010e-04,0.000000000000000000e+00
7.000000000000000000e+00,-1.157058214235396898e+00,-1.291653256510572723e+00,-1.225422750274142381e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,2.336032386566009797e-02,-9.740765687880125010e-04,0.000000000000000000e+00
8.000000000000000000e+00,-1.147880290395813407e+00,-1.291653256510572723e+00,-1.225177725547392571e+00,-1.298567210828246887e+00,3.094399018546346511e-02,2.336032386566009797e-02,-9.740765687880125010e-04,0.000000000000000000e+00
9.000000000000000000e+00,-1.147880290395813407e+00,-1.291653256510572723e+00,-1.225259400456309100e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,-2.335883115867425086e-02,-9.740765687880125010e-04,0.000000000000000000e+00
1.000000000000000000e+01,-1.147880290395813407e+00,-1.291653256510572723e+00,-1.225586100091975217e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,7.463534929244180073e-07,-9.740765687880125010e-04,0.000000000000000000e+00
1.100000000000000000e+01,-1.146044705627896843e+00,-1.291653256510572723e+00,-1.225912799727641778e+00,-1.298567210828246887e+00,4.469884353527850580e-03,4.672661855926359131e-03,-9.740765687880125010e-04,0.000000000000000000e+00
1.200000000000000000e+01,-1.146044705627896843e+00,-1.291653256510572723e+00,-1.226239499363308116e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,-4.671169148940510288e-03,-9.740765687880125010e-04,0.000000000000000000e+00
1.300000000000000000e+01,-1.146044705627896843e+00,-1.291653256510572723e+00,-1.225341075365225851e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,7.463534929244180073e-07,-9.740765687880125010e-04,0.000000000000000000e+00
1.400000000000000000e+01,-1.149715875163730194e+00,-1.291653256510572723e+00,-1.224442651367143586e+00,-1.298567210828246887e+00,-1.538569502042386010e-02,-9.343084651373944130e-03,-9.740765687880125010e-04,0.000000000000000000e+00
1.500000000000000000e+01,-1.149715875163730194e+00,-1.291653256510572723e+00,-1.224034276822560718e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,9.344577358359794708e-03,-9.740765687880125010e-04,0.000000000000000000e+00
1.600000000000000000e+01,-1.151551459931646759e+00,-1.291653256510572723e+00,-1.223625902277977406e+00,-1.298567210828246887e+00,-8.767168562439956250e-03,-4.671169148940510288e-03,-9.740765687880125010e-04,0.000000000000000000e+00
1.700000000000000000e+01,-1.151551459931646759e+00,-1.291653256510572723e+00,-1.223789252095810909e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,4.672661855926359131e-03,-9.740765687880125010e-04,0.000000000000000000e+00
1.800000000000000000e+01,-1.146962498011855125e+00,-1.291653256510572723e+00,-1.224115951731476803e+00,-1.298567210828246887e+00,1.439767404050370722e-02,1.168053510957651163e-02,-9.740765687880125010e-04,0.000000000000000000e+00
1.900000000000000000e+01,-1.146962498011855125e+00,-1.291653256510572723e+00,-1.224115951731476803e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,-1.167904240259066105e-02,-9.740765687880125010e-04,0.000000000000000000e+00
2.000000000000000000e+01,-1.143291328476021773e+00,-1.291653256510572723e+00,-1.224524326276060116e+00,-1.298567210828246887e+00,1.108841081151175530e-02,9.344577358359794708e-03,-9.740765687880125010e-04,0.000000000000000000e+00
2.100000000000000000e+01,-1.143291328476021773e+00,-1.291653256510572723e+00,-1.224606001184976201e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,-9.343084651373944130e-03,-9.740765687880125010e-04,0.000000000000000000e+00
2.200000000000000000e+01,-1.149715875163730194e+00,-1.291653256510572723e+00,-1.224442651367143586e+00,-1.298567210828246887e+00,-2.531348470739971587e-02,-1.635095790502409663e-02,-9.740765687880125010e-04,0.000000000000000000e+00
2.300000000000000000e+01,-1.149715875163730194e+00,-1.291653256510572723e+00,-1.224115951731476581e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,1.635245061200994721e-02,-9.740765687880125010e-04,0.000000000000000000e+00
2.400000000000000000e+01,-1.146044705627896843e+00,-1.291653256510572723e+00,-1.223952601913643523e+00,-1.298567210828246887e+00,1.108841081151175530e-02,9.344577358359794708e-03,-9.740765687880125010e-04,0.000000000000000000e+00
2.500000000000000000e+01,-1.150633667547688477e+00,-1.291653256510572723e+00,-1.224197626640393777e+00,-1.298567210828246887e+00,-1.869495824941581202e-02,-2.102287340745753394e-02,-9.740765687880125010e-04,0.000000000000000000e+00
2.600000000000000000e+01,-1.150633667547688477e+00,-1.291653256510572723e+00,-1.224851025911726010e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,1.168053510957651163e-02,-9.740765687880125010e-04,0.000000000000000000e+00
2.700000000000000000e+01,-1.147880290395813407e+00,-1.291653256510572723e+00,-1.225831124818724804e+00,-1.298567210828246887e+00,7.779147582519803372e-03,7.008619607143076052e-03,-9.740765687880125010e-04,0.000000000000000000e+00
2.800000000000000000e+01,-1.147880290395813407e+00,-1.291653256510572723e+00,-1.226076149545474614e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,-7.007126900157227209e-03,-9.740765687880125010e-04,0.000000000000000000e+00
2.900000000000000000e+01,-1.149715875163730194e+00,-1.291653256510572723e+00,-1.225749449909808497e+00,-1.298567210828246887e+00,-8.767168562439956250e-03,-4.671169148940510288e-03,-9.740765687880125010e-04,0.000000000000000000e+00
3.000000000000000000e+01,-1.149715875163730194e+00,-1.291653256510572723e+00,-1.225912799727641778e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,4.672661855926359131e-03,-9.740765687880125010e-04,0.000000000000000000e+00
3.100000000000000000e+01,-1.154304837083521829e+00,-1.291653256510572723e+00,-1.226402849181141175e+00,-1.298567210828246887e+00,-1.869495824941581202e-02,-1.167904240259066105e-02,-9.740765687880125010e-04,0.000000000000000000e+00
3.200000000000000000e+01,-1.154304837083521829e+00,-1.291653256510572723e+00,-1.226647873907890762e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,1.168053510957651163e-02,-9.740765687880125010e-04,0.000000000000000000e+00
3.300000000000000000e+01,-1.146044705627896843e+00,-1.291653256510572723e+00,-1.226892898634640572e+00,-1.294447231434677326e+00,2.763472695647151145e-02,2.102436611444337758e-02,-9.740765687880125010e-04,0.000000000000000000e+00
3.400000000000000000e+01,-1.146044705627896843e+00,-1.291653256510572723e+00,-1.226484524090057704e+00,-1.290327252041107764e+00,-2.148642104456053269e-03,-2.102287340745753394e-02,-9.740765687880125010e-04,0.000000000000000000e+00
3.500000000000000000e+01,-1.151551459931646759e+00,-1.291653256510572723e+00,-1.226076149545474614e+00,-1.286207272647538202e+00,-2.200422147840776568e-02,-1.401500015380737797e-02,-9.740765687880125010e-04,0.000000000000000000e+00
3.600000000000000000e+01,-1.151551459931646759e+00,-1.291653256510572723e+00,-1.225831124818724804e+00,-1.282087293253968641e+00,-2.148642104456053269e-03,1.401649286079322855e-02,-9.740765687880125010e-04,0.000000000000000000e+00
3.700000000000000000e+01,-1.153387044699563546e+00,-1.291653256510572723e+00,-1.225586100091975661e+00,-1.277967313860399079e+00,-8.767168562439956250e-03,-4.671169148940510288e-03,-9.740765687880125010e-04,0.000000000000000000e+00
