raw_RPM,raw_SPEED,ma_12_RPM,ma_12_SPEED,d1_RPM,d2_RPM,d1_SPEED,d2_SPEED
0.000000000000000000e+00,-2.657648762007283061e+00,-1.316239373591974848e+00,-2.163704103907674092e+00,-1.300627200525031668e+00,-2.148642104456053269e-03,7.463534929244180073e-07,-9.740765687880125010e-04,0.000000000000000000e+00
1.000000000000000000e+00,-1.146962498011855125e+00,-1.291653256510572723e+00,-2.029920603102335797e+00,-1.300627200525031668e+00,5.444898632816297379e+00,3.844987204856209928e+00,4.410862222614317929e-01,3.251751783723601519e-01
2.000000000000000000e+00,-1.145126913243938560e+00,-1.291653256510572723e+00,-1.896137102296997723e+00,-1.300627200525031668e+00,4.469884353527850580e-03,-3.840313796646789957e+00,-9.740765687880125010e-04,-3.251751783723601519e-01
3.000000000000000000e+00,-1.145126913243938560e+00,-1.291653256510572723e+00,-1.762353601491659427e+00,-1.300627200525031668e+00,-2.148642104456053269e-03,-4.671169148940510288e-03,-9.740765687880125010e-04,0.000000000000000000e+00
4.000000000000000000e+00,-1.151551459931646759e+00,-1.291653256510572723e+00,-1.627916701414988454e+00,-1.300627200525031668e+00,-2.531348470739971587e-02,-1.635095790502409663e-02,-9.740765687880125010e-04,0.000000000000000000e+00
5.000000000000000000e+00,-1.151551459931646759e+00,-1.291653256510572723e+00,-1.493479801338317703e+00,-1.300627200525031668e+00,-2.148642104456053269e-03,1.635245061200994721e-02,-9.740765687880125010e-04,0.000000000000000000e+00
6.000000000000000000e+00,-1.152469252315605264e+00,-1.291653256510572723e+00,-1.358797876534896920e+00,-1.300627200525031668e+00,-5.457905333448005193e-03,-2.335211397723792933e-03,-9.740765687880125010e-04,0.000000000000000000e+00
7.000000000000000000e+00,-1.152469252315605264e+00,-1.291653256510572723e+00,-1.223952601913644189e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,2.336704104709641776e-03,-9.740765687880125010e-04,0.000000000000000000e+00
8.000000000000000000e+00,-1.152469252315605264e+00,-1.291653256510572723e+00,-1.224442651367142920e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,7.463534929244180073e-07,-9.740765687880125010e-04,0.000000000000000000e+00
9.000000000000000000e+00,-1.145126913243938560e+00,-1.291653256510572723e+00,-1.225096050638475598e+00,-1.298567210828246887e+00,2.432546372747956126e-02,1.868840836322666066e-02,-9.740765687880125010e-04,0.000000000000000000e+00
1.000000000000000000e+01,-1.145126913243938560e+00,-1.291653256510572723e+00,-1.224851025911726010e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,-1.868691565624081355e-02,-9.740765687880125010e-04,0.000000000000000000e+00
1.100000000000000000e+01,-1.142373536092063491e+00,-1.291653256510572723e+00,-1.224034276822560718e+00,-1.298567210828246887e+00,7.779147582519803372e-03,7.008619607143076052e-03,-9.740765687880125010e-04,0.000000000000000000e+00
1.200000000000000000e+01,-1.142373536092063491e+00,-1.291653256510572723e+00,-1.223544227369061321e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,-7.007126900157227209e-03,-9.740765687880125010e-04,0.000000000000000000e+00
1.300000000000000000e+01,-1.152469252315605264e+00,-1.291653256510572723e+00,-1.222972503006645395e+00,-1.298567210828246887e+00,-3.855053762336752704e-02,-2.569478890989096778e-02,-9.740765687880125010e-04,0.000000000000000000e+00
1.400000000000000000e+01,-1.152469252315605264e+00,-1.291653256510572723e+00,-1.222400778644229025e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,2.569628161687681489e-02,-9.740765687880125010e-04,0.000000000000000000e+00
1.500000000000000000e+01,-1.142373536092063491e+00,-1.291653256510572723e+00,-1.222155753917479215e+00,-1.298567210828246887e+00,3.425325341445541877e-02,2.569628161687681489e-02,-9.740765687880125010e-04,0.000000000000000000e+00
1.600000000000000000e+01,-1.142373536092063491e+00,-1.291653256510572723e+00,-1.222564128462062305e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,-2.569478890989096778e-02,-9.740765687880125010e-04,0.000000000000000000e+00
1.700000000000000000e+01,-1.146044705627896843e+00,-1.291653256510572723e+00,-1.222972503006645395e+00,-1.298567210828246887e+00,-1.538569502042386010e-02,-9.343084651373944130e-03,-9.740765687880125010e-04,0.000000000000000000e+00
1.800000000000000000e+01,-1.146044705627896843e+00,-1.291653256510572723e+00,-1.222809153188812115e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,9.344577358359794708e-03,-9.740765687880125010e-04,0.000000000000000000e+00
1.900000000000000000e+01,-1.146044705627896843e+00,-1.291653256510572723e+00,-1.222645803370979056e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,7.463534929244180073e-07,-9.740765687880125010e-04,0.000000000000000000e+00
2.000000000000000000e+01,-1.149715875163730194e+00,-1.291653256510572723e+00,-1.222237428826396188e+00,-1.298567210828246887e+00,-1.538569502042386010e-02,-9.343084651373944130e-03,-9.740765687880125010e-04,0.000000000000000000e+00
2.100000000000000000e+01,-1.149715875163730194e+00,-1.291653256510572723e+00,-1.221829054281813320e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,9.344577358359794708e-03,-9.740765687880125010e-04,0.000000000000000000e+00
2.200000000000000000e+01,-1.149715875163730194e+00,-1.291653256510572723e+00,-1.221747379372896791e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,7.463534929244180073e-07,-9.740765687880125010e-04,0.000000000000000000e+00
2.300000000000000000e+01,-1.140537951324146704e+00,-1.291653256510572723e+00,-1.222155753917479215e+00,-1.298567210828246887e+00,3.094399018546346511e-02,2.336032386566009797e-02,-9.740765687880125010e-04,0.000000000000000000e+00
2.400000000000000000e+01,-1.140537951324146704e+00,-1.291653256510572723e+00,-1.222237428826396188e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,-2.335883115867425086e-02,-9.740765687880125010e-04,0.000000000000000000e+00
2.500000000000000000e+01,-1.147880290395813407e+00,-1.291653256510572723e+00,-1.222400778644229025e+00,-1.298567210828246887e+00,-2.862274793639166953e-02,-1.868691565624081355e-02,-9.740765687880125010e-04,0.000000000000000000e+00
2.600000000000000000e+01,-1.147880290395813407e+00,-1.291653256510572723e+00,-1.222564128462062305e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,1.868840836322666066e-02,-9.740765687880125010e-04,0.000000000000000000e+00
2.700000000000000000e+01,-1.141455743708105208e+00,-1.291653256510572723e+00,-1.222809153188811448e+00,-1.298567210828246887e+00,2.101620049848761107e-02,1.635245061200994721e-02,-9.740765687880125010e-04,0.000000000000000000e+00
2.800000000000000000e+01,-1.146962498011855125e+00,-1.291653256510572723e+00,-1.223054177915561036e+00,-1.298567210828246887e+00,-2.200422147840776568e-02,-3.036670441232440162e-02,-9.740765687880125010e-04,0.000000000000000000e+00
2.900000000000000000e+01,-1.146962498011855125e+00,-1.291653256510572723e+00,-1.222482453553145998e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,1.401649286079322855e-02,-9.740765687880125010e-04,0.000000000000000000e+00
3.000000000000000000e+01,-1.147880290395813407e+00,-1.291653256510572723e+00,-1.222727478279895585e+00,-1.298567210828246887e+00,-5.457905333448005193e-03,-2.335211397723792933e-03,-9.740765687880125010e-04,0.000000000000000000e+00
3.100000000000000000e+01,-1.147880290395813407e+00,-1.291653256510572723e+00,-1.222809153188812115e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,2.336704104709641776e-03,-9.740765687880125010e-04,0.000000000000000000e+00
3.200000000000000000e+01,-1.152469252315605264e+00,-1.291653256510572723e+00,-1.222237428826396188e+00,-1.298567210828246887e+00,-1.869495824941581202e-02,-1.167904240259066105e-02,-9.740765687880125010e-04,0.000000000000000000e+00
