raw_RPM,raw_SPEED,ma_12_RPM,ma_12_SPEED,d1_RPM,d2_RPM,d1_SPEED,d2_SPEED
0.000000000000000000e+00,-2.657648762007283061e+00,-1.316239373591974848e+00,-2.006316554425447762e+00,-1.284147282950753421e+00,-2.148642104456053269e-03,7.463534929244180073e-07,-9.740765687880125010e-04,0.000000000000000000e+00
1.000000000000000000e+00,-1.169907307610813740e+00,-1.291653256510572723e+00,-1.838392941692984284e+00,-1.275907324163614298e+00,5.362167052091498576e+00,3.786588261075791717e+00,4.410862222614317929e-01,3.251751783723601519e-01
2.000000000000000000e+00,-1.998007577668480250e-01,-1.291653256510572723e+00,-1.670469328960520805e+00,-1.267667365376475175e+00,3.495742590940037253e+00,-1.317479425332735543e+00,-9.740765687880125010e-04,-3.251751783723601519e-01
3.000000000000000000e+00,-1.998007577668480250e-01,-1.291653256510572723e+00,-1.536032428883849832e+00,-1.257367416892551271e+00,-2.148642104456053269e-03,-2.469106596682577148e+00,-9.740765687880125010e-04,0.000000000000000000e+00
4.000000000000000000e+00,-1.201112248665397120e+00,-1.193308788184964664e+00,-1.401595528807179303e+00,-1.247067468408627366e+00,-3.612554824934675501e+00,-2.548529160223945489e+00,1.767267118752091193e+00,1.300700713489440608e+00
5.000000000000000000e+00,-1.201112248665397120e+00,-1.193308788184964664e+00,-1.204840673227167258e+00,-1.234707530227918681e+00,-2.148642104456053269e-03,2.548530652930931950e+00,-9.740765687880125010e-04,-1.300700713489440608e+00
6.000000000000000000e+00,-7.688320358210189998e-01,-1.193308788184964664e+00,-1.008085817647155213e+00,-1.222347592047209996e+00,1.556514338750753179e+00,1.100236847176566668e+00,-9.740765687880125010e-04,0.000000000000000000e+00
7.000000000000000000e+00,-7.688320358210189998e-01,-1.193308788184964664e+00,-7.751489774171035352e-01,-1.199687705382577407e+00,-2.148642104456053269e-03,-1.100235354469580873e+00,-9.740765687880125010e-04,0.000000000000000000e+00
8.000000000000000000e+00,-1.145126913243938560e+00,-1.168722671103562538e+00,-6.746071645408087125e-01,-1.179087808414729821e+00,-1.358946565991156374e+00,-9.577419316453611442e-01,4.410862222614317929e-01,3.251751783723601519e-01
9.000000000000000000e+00,-1.145126913243938560e+00,-1.168722671103562538e+00,-6.555769107632480885e-01,-1.156427921750097010e+00,-2.148642104456053269e-03,9.577434243523470503e-01,-9.740765687880125010e-04,-3.251751783723601519e-01
1.000000000000000000e+01,-4.448513242837248693e-01,-1.144136554022160412e+00,-6.365466569856874646e-01,-1.133768035085464421e+00,2.522819201616403273e+00,1.782336510531848273e+00,4.410862222614317929e-01,3.251751783723601519e-01
1.100000000000000000e+01,-4.448513242837248693e-01,-1.144136554022160412e+00,-6.216001486539555199e-01,-1.119348107207970955e+00,-2.148642104456053269e-03,-1.782335017824862478e+00,-9.740765687880125010e-04,-3.251751783723601519e-01
1.200000000000000000e+01,-4.010488295809681164e-02,-1.045792085696552132e+00,-6.066536403222232421e-01,-1.102868189633692708e+00,1.457236441880994660e+00,1.030158114640065348e+00,1.767267118752091193e+00,1.300700713489440608e+00
1.300000000000000000e+01,-4.010488295809681164e-02,-1.045792085696552132e+00,-6.397319784334336568e-01,-1.086388272059414462e+00,-2.148642104456053269e-03,-1.030156621933079331e+00,-9.740765687880125010e-04,-1.300700713489440608e+00
1.400000000000000000e+01,1.404486769544526295e-02,-1.021205968615150228e+00,-6.728103165446436273e-01,-1.069908354485136215e+00,1.930978884060691181e-01,1.378222536752792549e-01,4.410862222614317929e-01,3.251751783723601519e-01
1.500000000000000000e+01,1.404486769544526295e-02,-1.021205968615150228e+00,-5.809260440135052272e-01,-1.055488426607642971e+00,-2.148642104456053269e-03,-1.378207609682933765e-01,-9.740765687880125010e-04,-3.251751783723601519e-01
