# Time,raw_RPM,raw_SPEED
0.000000000000000000e+00,1.871500000000000000e+03,7.900000000000000000e+01
1.000000000000000000e+00,1.892000000000000000e+03,8.100000000000000000e+01
2.000000000000000000e+00,nan,nan
3.000000000000000000e+00,nan,8.300000000000000000e+01
4.000000000000000000e+00,nan,nan
5.000000000000000000e+00,1.559000000000000000e+03,8.400000000000000000e+01
6.000000000000000000e+00,1.586000000000000000e+03,8.500000000000000000e+01
7.000000000000000000e+00,nan,nan
8.000000000000000000e+00,1.587000000000000000e+03,nan
9.000000000000000000e+00,nan,nan
1.000000000000000000e+01,1.580500000000000000e+03,nan
1.100000000000000000e+01,1.571500000000000000e+03,8.400000000000000000e+01
1.200000000000000000e+01,nan,nan
1.300000000000000000e+01,1.558500000000000000e+03,nan
1.400000000000000000e+01,1.550500000000000000e+03,8.300000000000000000e+01
1.500000000000000000e+01,nan,nan
1.600000000000000000e+01,1.528500000000000000e+03,nan
1.700000000000000000e+01,1.493000000000000000e+03,8.000000000000000000e+01
1.800000000000000000e+01,nan,nan
1.900000000000000000e+01,1.461500000000000000e+03,7.900000000000000000e+01
2.000000000000000000e+01,nan,7.800000000000000000e+01
2.100000000000000000e+01,1.459000000000000000e+03,nan
2.200000000000000000e+01,1.475500000000000000e+03,7.900000000000000000e+01
2.300000000000000000e+01,nan,nan
2.400000000000000000e+01,1.497500000000000000e+03,8.100000000000000000e+01
2.500000000000000000e+01,1.506500000000000000e+03,nan
2.600000000000000000e+01,nan,nan
2.700000000000000000e+01,1.526000000000000000e+03,8.200000000000000000e+01
2.800000000000000000e+01,nan,8.300000000000000000e+01
2.900000000000000000e+01,1.535500000000000000e+03,nan
3.000000000000000000e+01,1.511000000000000000e+03,8.100000000000000000e+01
3.100000000000000000e+01,nan,nan
3.200000000000000000e+01,1.495000000000000000e+03,8.000000000000000000e+01
3.300000000000000000e+01,1.486500000000000000e+03,nan
3.400000000000000000e+01,nan,nan
3.500000000000000000e+01,1.493000000000000000e+03,nan
3.600000000000000000e+01,nan,nan
3.700000000000000000e+01,1.496500000000000000e+03,nan
3.800000000000000000e+01,nan,nan
3.900000000000000000e+01,nan,nan
4.000000000000000000e+01,1.471500000000000000e+03,7.900000000000000000e+01
4.100000000000000000e+01,1.428000000000000000e+03,nan
4.200000000000000000e+01,nan,nan
4.300000000000000000e+01,1.419500000000000000e+03,7.600000000000000000e+01
4.400000000000000000e+01,nan,7.700000000000000000e+01
4.500000000000000000e+01,1.423000000000000000e+03,nan
4.600000000000000000e+01,nan,nan
4.700000000000000000e+01,1.435500000000000000e+03,nan
4.800000000000000000e+01,nan,nan
4.900000000000000000e+01,1.443000000000000000e+03,nan
5.000000000000000000e+01,nan,nan
5.100000000000000000e+01,1.448000000000000000e+03,7.800000000000000000e+01
5.200000000000000000e+01,nan,nan
5.300000000000000000e+01,1.458000000000000000e+03,nan
5.400000000000000000e+01,1.471500000000000000e+03,7.900000000000000000e+01
5.500000000000000000e+01,nan,nan
5.600000000000000000e+01,1.492500000000000000e+03,8.000000000000000000e+01
5.700000000000000000e+01,1.523500000000000000e+03,8.200000000000000000e+01
5.800000000000000000e+01,nan,nan
5.900000000000000000e+01,nan,8.300000000000000000e+01
6.000000000000000000e+01,nan,nan
6.100000000000000000e+01,1.574000000000000000e+03,8.500000000000000000e+01
6.200000000000000000e+01,nan,8.600000000000000000e+01
6.300000000000000000e+01,1.604000000000000000e+03,nan
6.400000000000000000e+01,1.635500000000000000e+03,nan
6.500000000000000000e+01,nan,nan
6.600000000000000000e+01,1.663000000000000000e+03,8.900000000000000000e+01
6.700000000000000000e+01,nan,9.100000000000000000e+01
6.800000000000000000e+01,1.689000000000000000e+03,nan
6.900000000000000000e+01,1.703000000000000000e+03,nan
7.000000000000000000e+01,nan,nan
7.100000000000000000e+01,1.723500000000000000e+03,9.300000000000000000e+01
7.200000000000000000e+01,nan,9.400000000000000000e+01
7.300000000000000000e+01,1.747000000000000000e+03,nan
7.400000000000000000e+01,1.760000000000000000e+03,9.500000000000000000e+01
7.500000000000000000e+01,nan,nan
7.600000000000000000e+01,1.745500000000000000e+03,9.400000000000000000e+01
7.700000000000000000e+01,nan,9.300000000000000000e+01
7.800000000000000000e+01,1.724500000000000000e+03,nan
