Time,raw_INTAKE_PRESSURE,raw_RPM,raw_SPEED
0.000000000000000000e+00,1.020000000000000000e+02,7.660000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+00,nan,nan,nan
2.000000000000000000e+00,1.030000000000000000e+02,7.340000000000000000e+02,nan
3.000000000000000000e+00,nan,nan,nan
4.000000000000000000e+00,nan,8.195000000000000000e+02,nan
5.000000000000000000e+00,nan,nan,nan
6.000000000000000000e+00,1.040000000000000000e+02,8.715000000000000000e+02,7.000000000000000000e+00
7.000000000000000000e+00,nan,nan,6.000000000000000000e+00
8.000000000000000000e+00,1.030000000000000000e+02,7.600000000000000000e+02,nan
9.000000000000000000e+00,nan,nan,nan
1.000000000000000000e+01,1.010000000000000000e+02,9.930000000000000000e+02,nan
1.100000000000000000e+01,nan,nan,1.300000000000000000e+01
1.200000000000000000e+01,1.070000000000000000e+02,1.522500000000000000e+03,nan
1.300000000000000000e+01,nan,7.980000000000000000e+02,nan
1.400000000000000000e+01,1.040000000000000000e+02,nan,nan
1.500000000000000000e+01,nan,7.655000000000000000e+02,nan
1.600000000000000000e+01,1.030000000000000000e+02,nan,nan
1.700000000000000000e+01,1.020000000000000000e+02,7.640000000000000000e+02,1.700000000000000000e+01
1.800000000000000000e+01,nan,nan,nan
1.900000000000000000e+01,nan,7.675000000000000000e+02,nan
2.000000000000000000e+01,nan,nan,nan
2.100000000000000000e+01,nan,7.610000000000000000e+02,1.600000000000000000e+01
2.200000000000000000e+01,nan,nan,nan
2.300000000000000000e+01,nan,7.510000000000000000e+02,1.100000000000000000e+01
2.400000000000000000e+01,nan,nan,nan
2.500000000000000000e+01,nan,7.265000000000000000e+02,9.000000000000000000e+00
2.600000000000000000e+01,nan,nan,nan
2.700000000000000000e+01,1.090000000000000000e+02,1.407500000000000000e+03,1.400000000000000000e+01
2.800000000000000000e+01,nan,nan,nan
2.900000000000000000e+01,nan,1.545000000000000000e+03,1.800000000000000000e+01
3.000000000000000000e+01,nan,nan,nan
3.100000000000000000e+01,1.070000000000000000e+02,9.320000000000000000e+02,1.900000000000000000e+01
3.200000000000000000e+01,nan,nan,2.000000000000000000e+01
3.300000000000000000e+01,1.140000000000000000e+02,1.584000000000000000e+03,nan
3.400000000000000000e+01,nan,nan,1.900000000000000000e+01
3.500000000000000000e+01,1.060000000000000000e+02,1.314000000000000000e+03,nan
3.600000000000000000e+01,nan,1.504000000000000000e+03,2.300000000000000000e+01
3.700000000000000000e+01,1.070000000000000000e+02,nan,nan
3.800000000000000000e+01,nan,nan,nan
3.900000000000000000e+01,1.080000000000000000e+02,9.835000000000000000e+02,1.800000000000000000e+01
4.000000000000000000e+01,nan,nan,1.700000000000000000e+01
4.100000000000000000e+01,1.040000000000000000e+02,1.364500000000000000e+03,nan
4.200000000000000000e+01,nan,1.495000000000000000e+03,1.800000000000000000e+01
4.300000000000000000e+01,1.050000000000000000e+02,nan,nan
4.400000000000000000e+01,nan,1.284500000000000000e+03,2.000000000000000000e+01
4.500000000000000000e+01,nan,nan,nan
4.600000000000000000e+01,nan,1.350000000000000000e+03,2.100000000000000000e+01
4.700000000000000000e+01,nan,nan,nan
4.800000000000000000e+01,1.100000000000000000e+02,1.418500000000000000e+03,nan
4.900000000000000000e+01,nan,nan,nan
5.000000000000000000e+01,1.080000000000000000e+02,1.293500000000000000e+03,2.000000000000000000e+01
5.100000000000000000e+01,nan,nan,nan
5.200000000000000000e+01,1.050000000000000000e+02,1.561500000000000000e+03,2.100000000000000000e+01
5.300000000000000000e+01,nan,nan,nan
5.400000000000000000e+01,2.330000000000000000e+02,2.345000000000000000e+03,3.300000000000000000e+01
5.500000000000000000e+01,nan,nan,nan
5.600000000000000000e+01,1.280000000000000000e+02,2.497000000000000000e+03,3.800000000000000000e+01
5.700000000000000000e+01,nan,nan,nan
5.800000000000000000e+01,1.420000000000000000e+02,1.761500000000000000e+03,3.900000000000000000e+01
5.900000000000000000e+01,nan,nan,nan
6.000000000000000000e+01,2.500000000000000000e+02,3.336000000000000000e+03,4.700000000000000000e+01
6.100000000000000000e+01,nan,nan,6.100000000000000000e+01
6.200000000000000000e+01,2.210000000000000000e+02,2.871000000000000000e+03,nan
6.300000000000000000e+01,nan,nan,6.600000000000000000e+01
6.400000000000000000e+01,1.350000000000000000e+02,2.857000000000000000e+03,nan
6.500000000000000000e+01,nan,2.114000000000000000e+03,nan
6.600000000000000000e+01,1.240000000000000000e+02,nan,nan
6.700000000000000000e+01,1.580000000000000000e+02,2.175000000000000000e+03,6.900000000000000000e+01
6.800000000000000000e+01,nan,nan,nan
6.900000000000000000e+01,1.200000000000000000e+02,2.081500000000000000e+03,6.500000000000000000e+01
7.000000000000000000e+01,nan,nan,nan
7.100000000000000000e+01,1.170000000000000000e+02,1.973000000000000000e+03,6.100000000000000000e+01
7.200000000000000000e+01,nan,nan,nan
7.300000000000000000e+01,1.280000000000000000e+02,1.902500000000000000e+03,5.900000000000000000e+01
7.400000000000000000e+01,nan,nan,nan
