# Time,raw_RPM,raw_SPEED,ma_12_RPM,ma_12_SPEED,d1_RPM,d2_RPM,d1_SPEED,d2_SPEED
0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,3.425000000000000000e+02,-8.333333333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,8.190000000000000000e+02,0.000000000000000000e+00,4.110833333333333144e+02,-8.333333333333332871e-02,8.200000000000000000e+02,8.200000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,8.250000000000000000e+02,0.000000000000000000e+00,4.796666666666666288e+02,-8.333333333333332871e-02,6.000000000000000000e+00,-8.140000000000000000e+02,0.000000000000000000e+00,-1.000000000000000000e+00
3.000000000000000000e+00,8.220000000000000000e+02,0.000000000000000000e+00,5.480416666666666288e+02,-8.333333333333332871e-02,-3.000000000000000000e+00,-9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,8.220000000000000000e+02,0.000000000000000000e+00,6.164166666666666288e+02,-8.333333333333332871e-02,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,8.230000000000000000e+02,0.000000000000000000e+00,6.849583333333332575e+02,-8.333333333333332871e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,8.230000000000000000e+02,0.000000000000000000e+00,7.537083333333332575e+02,-8.333333333333332871e-02,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,8.230000000000000000e+02,0.000000000000000000e+00,8.225416666666666288e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,8.205000000000000000e+02,0.000000000000000000e+00,8.226250000000000000e+02,0.000000000000000000e+00,-2.500000000000000000e+00,-2.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,8.205000000000000000e+02,0.000000000000000000e+00,8.222083333333333712e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,8.225000000000000000e+02,0.000000000000000000e+00,8.221666666666667425e+02,0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,8.250000000000000000e+02,0.000000000000000000e+00,8.221250000000001137e+02,0.000000000000000000e+00,2.500000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,8.250000000000000000e+02,0.000000000000000000e+00,8.220000000000001137e+02,0.000000000000000000e+00,0.000000000000000000e+00,-2.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,8.200000000000000000e+02,0.000000000000000000e+00,8.220416666666667425e+02,0.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,8.200000000000000000e+02,0.000000000000000000e+00,8.220833333333333712e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,8.215000000000000000e+02,0.000000000000000000e+00,8.223333333333332575e+02,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,8.215000000000000000e+02,0.000000000000000000e+00,8.225416666666666288e+02,0.000000000000000000e+00,0.000000000000000000e+00,-1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,8.215000000000000000e+02,0.000000000000000000e+00,8.225833333333332575e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,8.235000000000000000e+02,0.000000000000000000e+00,8.220833333333332575e+02,0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,8.235000000000000000e+02,0.000000000000000000e+00,8.215000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,8.235000000000000000e+02,0.000000000000000000e+00,8.213333333333332575e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,8.230000000000000000e+02,0.000000000000000000e+00,8.215416666666665151e+02,0.000000000000000000e+00,-5.000000000000000000e-01,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,8.230000000000000000e+02,0.000000000000000000e+00,8.216249999999997726e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,8.190000000000000000e+02,0.000000000000000000e+00,8.218333333333331439e+02,1.166666666666666519e+00,-4.000000000000000000e+00,-4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,8.180000000000000000e+02,0.000000000000000000e+00,8.213749999999997726e+02,2.333333333333333037e+00,-1.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+01,8.180000000000000000e+02,0.000000000000000000e+00,8.207499999999997726e+02,3.499999999999999556e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000000e+01,8.225000000000000000e+02,0.000000000000000000e+00,8.653333333333331439e+02,4.666666666666666075e+00,4.500000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
