Time,raw_INTAKE_PRESSURE,raw_RPM,raw_SPEED,ma_43_SPEED,ma_43_RPM,ma_43_INTAKE_PRESSURE,std_w11_SPEED,std_w25_SPEED,std_w11_INTAKE_PRESSURE,std_w25_INTAKE_PRESSURE,std_w11_RPM,std_w25_RPM,d1_SPEED,d2_SPEED,d1_RPM,d2_RPM,d1_INTAKE_PRESSURE,d2_INTAKE_PRESSURE
0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,3.953488372093023062e-01,3.958720930232557862e+02,4.925581395348835656e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+02,8.050000000000000000e+02,0.000000000000000000e+00,6.046511627906976383e-01,4.146395348837208985e+02,5.244186046511626387e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.060000000000000000e+02,8.060000000000000000e+02,1.010000000000000000e+02,1.010000000000000000e+02
2.000000000000000000e+00,1.000000000000000000e+02,8.095000000000000000e+02,0.000000000000000000e+00,8.139534883720929148e-01,4.334186046511627524e+02,5.562790697674417117e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,4.500000000000000000e+00,-8.015000000000000000e+02,0.000000000000000000e+00,-1.010000000000000000e+02
3.000000000000000000e+00,1.010000000000000000e+02,8.095000000000000000e+02,0.000000000000000000e+00,1.023255813953488191e+00,4.521976744186046062e+02,5.881395348837207848e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.500000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,1.010000000000000000e+02,8.110000000000000000e+02,0.000000000000000000e+00,1.232558139534883468e+00,4.709302325581394939e+02,6.199999999999998579e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00
5.000000000000000000e+00,1.010000000000000000e+02,8.110000000000000000e+02,0.000000000000000000e+00,1.441860465116278744e+00,4.896627906976743816e+02,6.518604651162789310e+01,2.874797872880344163e-01,1.000000000000000000e+00,2.926792733091862786e+01,1.000000000000000000e+00,2.357998082840121299e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.010000000000000000e+02,8.010000000000000000e+02,0.000000000000000000e+00,1.651162790697674021e+00,5.084186046511627524e+02,6.837209302325580040e+01,0.000000000000000000e+00,1.000000000000000000e+00,3.856946079199350397e-01,1.000000000000000000e+00,1.957049136407680834e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+01,-1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.010000000000000000e+02,8.010000000000000000e+02,0.000000000000000000e+00,1.860465116279069298e+00,5.270813953488371908e+02,7.155813953488370771e+01,0.000000000000000000e+00,1.000000000000000000e+00,2.874797872880344163e-01,1.000000000000000000e+00,1.945985484049722203e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.010000000000000000e+02,8.035000000000000000e+02,0.000000000000000000e+00,2.069767441860464796e+00,5.457441860465115724e+02,7.474418604651161502e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.974077878675099385e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+00,2.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.010000000000000000e+02,8.565000000000000000e+02,0.000000000000000000e+00,2.279069767441860073e+00,5.644534883720929201e+02,7.793023255813952233e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000030991495419030e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.300000000000000000e+01,5.050000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
