Time,raw_INTAKE_PRESSURE,raw_RPM,raw_SPEED,ma_43_SPEED,ma_43_RPM,ma_43_INTAKE_PRESSURE,std_w11_SPEED,std_w25_SPEED,std_w11_INTAKE_PRESSURE,std_w25_INTAKE_PRESSURE,std_w11_RPM,std_w25_RPM,d1_SPEED,d2_SPEED,d1_RPM,d2_RPM,d1_INTAKE_PRESSURE,d2_INTAKE_PRESSURE
0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,7.744186046511631893e+00,5.033255813953488769e+02,4.644186046511628518e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.700000000000000000e+01,1.302000000000000000e+03,4.100000000000000000e+01,8.186046511627910860e+00,5.440581395348837077e+02,4.904651162790698038e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.200000000000000000e+01,4.200000000000000000e+01,1.303000000000000000e+03,1.303000000000000000e+03,9.800000000000000000e+01,9.800000000000000000e+01
2.000000000000000000e+00,9.500000000000000000e+01,1.261000000000000000e+03,3.700000000000000000e+01,8.627906976744190715e+00,5.847906976744185386e+02,5.213953488372093403e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-4.000000000000000000e+00,-4.600000000000000000e+01,-4.100000000000000000e+01,-1.344000000000000000e+03,-2.000000000000000000e+00,-1.000000000000000000e+02
3.000000000000000000e+00,9.500000000000000000e+01,1.197000000000000000e+03,3.700000000000000000e+01,9.232558139534887687e+00,6.260232558139533694e+02,5.504651162790698038e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,-6.400000000000000000e+01,-2.300000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00
4.000000000000000000e+00,9.700000000000000000e+01,1.197000000000000000e+03,3.700000000000000000e+01,9.837209302325584659e+00,6.672558139534882002e+02,5.795348837209302673e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.400000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00
5.000000000000000000e+00,9.700000000000000000e+01,1.436000000000000000e+03,3.300000000000000000e+01,1.055813953488372370e+01,6.992906976744184249e+02,6.074418604651162923e+01,1.321719391081303030e+01,1.000000000000000000e+00,2.869215344691798464e+01,1.000000000000000000e+00,4.330414873335649872e+02,1.000000000000000000e+00,-4.000000000000000000e+00,-4.000000000000000000e+00,2.390000000000000000e+02,2.390000000000000000e+02,0.000000000000000000e+00,-2.000000000000000000e+00
6.000000000000000000e+00,1.040000000000000000e+02,1.580500000000000000e+03,2.700000000000000000e+01,1.134883720930232798e+01,7.338953488372090987e+02,6.353488372093023173e+01,1.252897468317221197e+01,1.000000000000000000e+00,3.257540521303439185e+00,1.000000000000000000e+00,2.759374180456248951e+02,1.000000000000000000e+00,-6.000000000000000000e+00,-2.000000000000000000e+00,1.445000000000000000e+02,-9.450000000000000000e+01,7.000000000000000000e+00,7.000000000000000000e+00
7.000000000000000000e+00,1.040000000000000000e+02,1.580500000000000000e+03,2.700000000000000000e+01,1.213953488372093226e+01,7.684999999999997726e+02,6.613953488372092693e+01,1.302064476447478469e+01,1.000000000000000000e+00,3.579094488187187117e+00,1.000000000000000000e+00,2.981231718934888590e+02,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,-1.445000000000000000e+02,0.000000000000000000e+00,-7.000000000000000000e+00
8.000000000000000000e+00,9.600000000000000000e+01,1.292000000000000000e+03,1.900000000000000000e+01,1.297674418604651336e+01,8.050465116279067388e+02,6.874418604651162923e+01,1.266608669108638807e+01,1.000000000000000000e+00,3.579094488187187117e+00,1.000000000000000000e+00,2.967551234701519434e+02,1.000000000000000000e+00,-8.000000000000000000e+00,-8.000000000000000000e+00,-2.885000000000000000e+02,-2.885000000000000000e+02,-8.000000000000000000e+00,-8.000000000000000000e+00
9.000000000000000000e+00,9.600000000000000000e+01,8.120000000000000000e+02,1.000000000000000000e+01,1.381395348837209447e+01,8.394651162790695480e+02,7.134883720930233153e+01,1.187260197622873292e+01,1.000000000000000000e+00,3.386897456399483364e+00,1.000000000000000000e+00,2.968181539746610724e+02,1.000000000000000000e+00,-9.000000000000000000e+00,-1.000000000000000000e+00,-4.800000000000000000e+02,-1.915000000000000000e+02,0.000000000000000000e+00,8.000000000000000000e+00
