# Time,raw_RPM,raw_SPEED,ma_12_RPM,ma_12_SPEED,d1_RPM,d2_RPM,d1_SPEED,d2_SPEED
0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.854999999999998863e+02,8.416666666666666075e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.450000000000000000e+03,2.200000000000000000e+01,7.245416666666665151e+02,1.025000000000000000e+01,1.451000000000000000e+03,1.451000000000000000e+03,2.300000000000000000e+01,2.300000000000000000e+01
2.000000000000000000e+00,1.450000000000000000e+03,2.200000000000000000e+01,8.635833333333331439e+02,1.208333333333333393e+01,0.000000000000000000e+00,-1.451000000000000000e+03,0.000000000000000000e+00,-2.300000000000000000e+01
3.000000000000000000e+00,1.450000000000000000e+03,1.900000000000000000e+01,1.019874999999999773e+03,1.416666666666666785e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
4.000000000000000000e+00,1.338500000000000000e+03,1.900000000000000000e+01,1.176166666666666515e+03,1.625000000000000000e+01,-1.115000000000000000e+02,-1.115000000000000000e+02,0.000000000000000000e+00,3.000000000000000000e+00
5.000000000000000000e+00,1.338500000000000000e+03,2.000000000000000000e+01,1.311166666666666515e+03,1.841666666666666785e+01,0.000000000000000000e+00,1.115000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.668500000000000000e+03,2.200000000000000000e+01,1.436291666666666515e+03,2.033333333333333570e+01,3.300000000000000000e+02,3.300000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.668500000000000000e+03,2.200000000000000000e+01,1.561499999999999773e+03,2.233333333333333570e+01,0.000000000000000000e+00,-3.300000000000000000e+02,0.000000000000000000e+00,-2.000000000000000000e+00
8.000000000000000000e+00,1.875500000000000000e+03,2.500000000000000000e+01,1.508624999999999773e+03,2.166666666666667140e+01,2.070000000000000000e+02,2.070000000000000000e+02,3.000000000000000000e+00,3.000000000000000000e+00
9.000000000000000000e+00,1.875500000000000000e+03,2.500000000000000000e+01,1.455749999999999545e+03,2.100000000000000000e+01,0.000000000000000000e+00,-2.070000000000000000e+02,0.000000000000000000e+00,-3.000000000000000000e+00
1.000000000000000000e+01,1.620000000000000000e+03,2.600000000000000000e+01,1.398749999999999773e+03,1.950000000000000000e+01,-2.555000000000000000e+02,-2.555000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
1.100000000000000000e+01,1.501500000000000000e+03,2.300000000000000000e+01,1.351041666666666288e+03,1.799999999999999645e+01,-1.185000000000000000e+02,1.370000000000000000e+02,-3.000000000000000000e+00,-4.000000000000000000e+00
1.200000000000000000e+01,1.501500000000000000e+03,2.300000000000000000e+01,1.306874999999999773e+03,1.716666666666666075e+01,0.000000000000000000e+00,1.185000000000000000e+02,0.000000000000000000e+00,3.000000000000000000e+00
