# Time,raw_RPM,raw_SPEED,ma_12_RPM,ma_12_SPEED,d1_RPM,d2_RPM,d1_SPEED,d2_SPEED
0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,3.549166666666666288e+02,3.333333333333333037e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.095000000000000000e+03,7.000000000000000000e+00,4.712916666666666288e+02,3.999999999999999556e+00,1.096000000000000000e+03,1.096000000000000000e+03,8.000000000000000000e+00,8.000000000000000000e+00
2.000000000000000000e+00,8.120000000000000000e+02,9.000000000000000000e+00,5.876666666666666288e+02,5.166666666666666075e+00,-2.830000000000000000e+02,-1.379000000000000000e+03,2.000000000000000000e+00,-6.000000000000000000e+00
3.000000000000000000e+00,8.120000000000000000e+02,9.000000000000000000e+00,6.743333333333332575e+02,6.333333333333332149e+00,0.000000000000000000e+00,2.830000000000000000e+02,0.000000000000000000e+00,-2.000000000000000000e+00
4.000000000000000000e+00,7.705000000000000000e+02,8.000000000000000000e+00,7.609999999999998863e+02,7.499999999999998224e+00,-4.150000000000000000e+01,-4.150000000000000000e+01,-1.000000000000000000e+00,-1.000000000000000000e+00
5.000000000000000000e+00,7.705000000000000000e+02,8.000000000000000000e+00,8.265416666666665151e+02,8.583333333333332149e+00,0.000000000000000000e+00,4.150000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.396500000000000000e+03,8.000000000000000000e+00,8.920833333333331439e+02,9.666666666666666075e+00,6.260000000000000000e+02,6.260000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.396500000000000000e+03,1.400000000000000000e+01,9.566666666666665151e+02,1.108333333333333393e+01,0.000000000000000000e+00,-6.260000000000000000e+02,6.000000000000000000e+00,6.000000000000000000e+00
8.000000000000000000e+00,1.040000000000000000e+03,1.400000000000000000e+01,9.299166666666665151e+02,1.183333333333333393e+01,-3.565000000000000000e+02,-3.565000000000000000e+02,0.000000000000000000e+00,-6.000000000000000000e+00
9.000000000000000000e+00,1.040000000000000000e+03,1.400000000000000000e+01,9.267916666666665151e+02,1.258333333333333215e+01,0.000000000000000000e+00,3.565000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,7.865000000000000000e+02,1.300000000000000000e+01,9.236666666666664014e+02,1.333333333333333393e+01,-2.535000000000000000e+02,-2.535000000000000000e+02,-1.000000000000000000e+00,-1.000000000000000000e+00
1.100000000000000000e+01,7.865000000000000000e+02,1.300000000000000000e+01,9.228749999999997726e+02,1.408333333333333215e+01,0.000000000000000000e+00,2.535000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.200000000000000000e+01,7.740000000000000000e+02,1.600000000000000000e+01,9.220833333333330302e+02,1.483333333333333037e+01,-1.250000000000000000e+01,-1.250000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+00
1.300000000000000000e+01,7.740000000000000000e+02,1.600000000000000000e+01,8.690833333333331439e+02,1.524999999999999822e+01,0.000000000000000000e+00,1.250000000000000000e+01,0.000000000000000000e+00,-3.000000000000000000e+00
1.400000000000000000e+01,7.745000000000000000e+02,1.800000000000000000e+01,8.160833333333331439e+02,1.516666666666666430e+01,5.000000000000000000e-01,5.000000000000000000e-01,2.000000000000000000e+00,2.000000000000000000e+00
1.500000000000000000e+01,7.745000000000000000e+02,1.800000000000000000e+01,7.913333333333331439e+02,1.483333333333333393e+01,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,-2.000000000000000000e+00
1.600000000000000000e+01,7.610000000000000000e+02,1.700000000000000000e+01,7.665833333333332575e+02,1.450000000000000178e+01,-1.350000000000000000e+01,-1.350000000000000000e+01,-1.000000000000000000e+00,-1.000000000000000000e+00
1.700000000000000000e+01,7.610000000000000000e+02,1.700000000000000000e+01,8.097083333333332575e+02,1.416666666666666785e+01,0.000000000000000000e+00,1.350000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.800000000000000000e+01,7.605000000000000000e+02,1.300000000000000000e+01,8.528333333333332575e+02,1.383333333333333393e+01,-5.000000000000000000e-01,-5.000000000000000000e-01,-4.000000000000000000e+00,-4.000000000000000000e+00
1.900000000000000000e+01,7.605000000000000000e+02,1.300000000000000000e+01,8.700416666666666288e+02,1.358333333333333570e+01,0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,4.000000000000000000e+00
2.000000000000000000e+01,7.430000000000000000e+02,1.000000000000000000e+01,8.872500000000000000e+02,1.333333333333333393e+01,-1.750000000000000000e+01,-1.750000000000000000e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
2.100000000000000000e+01,7.430000000000000000e+02,1.000000000000000000e+01,9.342083333333333712e+02,1.316666666666666785e+01,0.000000000000000000e+00,1.750000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00
