# Time,raw_RPM,raw_SPEED,ma_12_RPM,ma_12_SPEED,d1_RPM,d2_RPM,d1_SPEED,d2_SPEED
0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.568333333333332575e+02,5.250000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.007000000000000000e+03,1.000000000000000000e+00,7.964166666666665151e+02,7.333333333333333037e+00,1.008000000000000000e+03,1.008000000000000000e+03,2.000000000000000000e+00,2.000000000000000000e+00
2.000000000000000000e+00,1.626500000000000000e+03,9.000000000000000000e+00,9.424583333333331439e+02,9.500000000000000000e+00,6.195000000000000000e+02,-3.885000000000000000e+02,8.000000000000000000e+00,6.000000000000000000e+00
3.000000000000000000e+00,1.819500000000000000e+03,1.300000000000000000e+01,1.083249999999999773e+03,1.150000000000000000e+01,1.930000000000000000e+02,-4.265000000000000000e+02,4.000000000000000000e+00,-4.000000000000000000e+00
4.000000000000000000e+00,1.744000000000000000e+03,1.900000000000000000e+01,1.208333333333333030e+03,1.333333333333333393e+01,-7.550000000000000000e+01,-2.685000000000000000e+02,6.000000000000000000e+00,2.000000000000000000e+00
5.000000000000000000e+00,1.686000000000000000e+03,2.200000000000000000e+01,1.309458333333333030e+03,1.491666666666666785e+01,-5.800000000000000000e+01,1.750000000000000000e+01,3.000000000000000000e+00,-3.000000000000000000e+00
6.000000000000000000e+00,1.675000000000000000e+03,2.500000000000000000e+01,1.394541666666666288e+03,1.616666666666666785e+01,-1.100000000000000000e+01,4.700000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.752500000000000000e+03,2.600000000000000000e+01,1.461791666666666515e+03,1.725000000000000000e+01,7.750000000000000000e+01,8.850000000000000000e+01,1.000000000000000000e+00,-2.000000000000000000e+00
8.000000000000000000e+00,1.689500000000000000e+03,2.400000000000000000e+01,1.473666666666666515e+03,1.816666666666666785e+01,-6.300000000000000000e+01,-1.405000000000000000e+02,-2.000000000000000000e+00,-3.000000000000000000e+00
9.000000000000000000e+00,1.501000000000000000e+03,2.200000000000000000e+01,1.408708333333333258e+03,1.825000000000000000e+01,-1.885000000000000000e+02,-1.255000000000000000e+02,-2.000000000000000000e+00,0.000000000000000000e+00
