Time,raw_INTAKE_PRESSURE,raw_RPM,raw_SPEED,ma_43_SPEED,ma_43_RPM,ma_43_INTAKE_PRESSURE,std_w11_SPEED,std_w25_SPEED,std_w11_INTAKE_PRESSURE,std_w25_INTAKE_PRESSURE,std_w11_RPM,std_w25_RPM,d1_SPEED,d2_SPEED,d1_RPM,d2_RPM,d1_INTAKE_PRESSURE,d2_INTAKE_PRESSURE
0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,3.162790697674419338e+00,4.695465116279070230e+02,5.044186046511627097e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+02,8.180000000000000000e+02,0.000000000000000000e+00,3.511627906976745095e+00,4.985581395348837646e+02,5.283720930232557578e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.190000000000000000e+02,8.190000000000000000e+02,1.010000000000000000e+02,1.010000000000000000e+02
2.000000000000000000e+00,1.000000000000000000e+02,8.155000000000000000e+02,0.000000000000000000e+00,3.860465116279070852e+00,5.268139534883721353e+02,5.523255813953488058e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,-2.500000000000000000e+00,-8.215000000000000000e+02,0.000000000000000000e+00,-1.010000000000000000e+02
3.000000000000000000e+00,1.000000000000000000e+02,8.155000000000000000e+02,2.000000000000000000e+00,4.186046511627908195e+00,5.550697674418604493e+02,5.762790697674418539e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+02,8.115000000000000000e+02,2.000000000000000000e+00,4.511627906976745095e+00,5.748372093023256184e+02,5.997674418604650981e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,-4.000000000000000000e+00,-4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+02,8.115000000000000000e+02,2.000000000000000000e+00,4.813953488372093581e+00,5.946046511627907876e+02,6.232558139534883423e+01,1.564059139462295800e+00,1.000000000000000000e+00,2.892423845579921249e+01,1.000000000000000000e+00,2.354177401911210836e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+02,8.020000000000000000e+02,2.000000000000000000e+00,5.116279069767442067e+00,6.138953488372094398e+02,6.465116279069766847e+01,1.414213562373095145e+00,1.000000000000000000e+00,4.979295977319691535e-01,1.000000000000000000e+00,1.114331879284660154e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.500000000000000000e+00,-9.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,9.900000000000000000e+01,8.130000000000000000e+02,4.000000000000000000e+00,5.279069767441860961e+00,6.331860465116280920e+02,6.697674418604650270e+01,1.414213562373095145e+00,1.000000000000000000e+00,4.979295977319691535e-01,1.000000000000000000e+00,3.352746499649069989e+01,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.100000000000000000e+01,2.050000000000000000e+01,-1.000000000000000000e+00,-1.000000000000000000e+00
8.000000000000000000e+00,9.900000000000000000e+01,8.130000000000000000e+02,4.000000000000000000e+00,5.441860465116279855e+00,6.515930232558141597e+02,6.930232558139533694e+01,2.574509501546599299e+00,1.000000000000000000e+00,9.383474131517575145e+00,1.000000000000000000e+00,2.462256910013472009e+02,1.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,-1.100000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,9.900000000000000000e+01,8.360000000000000000e+02,3.000000000000000000e+00,5.581395348837210335e+00,6.703604651162793289e+02,7.160465116279068809e+01,3.255002507266937073e+00,1.000000000000000000e+00,1.260657050250823374e+01,1.000000000000000000e+00,3.283376172617004727e+02,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.300000000000000000e+01,2.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
