Time,raw_INTAKE_PRESSURE,raw_RPM,raw_SPEED,ma_43_SPEED,ma_43_RPM,ma_43_INTAKE_PRESSURE,std_w11_SPEED,std_w25_SPEED,std_w11_INTAKE_PRESSURE,std_w25_INTAKE_PRESSURE,std_w11_RPM,std_w25_RPM,d1_SPEED,d2_SPEED,d1_RPM,d2_RPM,d1_INTAKE_PRESSURE,d2_INTAKE_PRESSURE
0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,3.558139534883721478e+00,4.602441860465116292e+02,4.967441860465115155e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.010000000000000000e+02,8.185000000000000000e+02,0.000000000000000000e+00,3.860465116279070408e+00,4.877209302325581461e+02,5.204651162790696617e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.195000000000000000e+02,8.195000000000000000e+02,1.020000000000000000e+02,1.020000000000000000e+02
2.000000000000000000e+00,1.010000000000000000e+02,8.185000000000000000e+02,0.000000000000000000e+00,4.162790697674418894e+00,5.151976744186046062e+02,5.441860465116278078e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-8.195000000000000000e+02,0.000000000000000000e+00,-1.020000000000000000e+02
3.000000000000000000e+00,1.010000000000000000e+02,8.095000000000000000e+02,0.000000000000000000e+00,4.441860465116278966e+00,5.361511627906976400e+02,5.676744186046510521e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.000000000000000000e+00,-9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.020000000000000000e+02,8.180000000000000000e+02,3.000000000000000000e+00,4.720930232558139039e+00,5.571046511627906739e+02,5.911627906976742963e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,8.500000000000000000e+00,1.750000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.020000000000000000e+02,8.180000000000000000e+02,3.000000000000000000e+00,4.999999999999999112e+00,5.766627906976743816e+02,6.146511627906975406e+01,2.496278221408360309e+00,1.000000000000000000e+00,2.955845867664352156e+01,1.000000000000000000e+00,2.362362506384286576e+02,1.000000000000000000e+00,0.000000000000000000e+00,-3.000000000000000000e+00,0.000000000000000000e+00,-8.500000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00
6.000000000000000000e+00,1.020000000000000000e+02,8.085000000000000000e+02,3.000000000000000000e+00,5.279069767441859184e+00,5.962209302325580893e+02,6.379069767441858829e+01,2.641061644787990659e+00,1.000000000000000000e+00,6.680426571226849575e-01,1.000000000000000000e+00,9.943227272623376578e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.500000000000000000e+00,-9.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.020000000000000000e+02,8.085000000000000000e+02,3.000000000000000000e+00,5.534883720930231732e+00,6.153139534883720216e+02,6.611627906976742963e+01,2.690663379445226155e+00,1.000000000000000000e+00,6.680426571226849575e-01,1.000000000000000000e+00,1.150170127552463271e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.020000000000000000e+02,8.350000000000000000e+02,6.000000000000000000e+00,5.790697674418604279e+00,6.344069767441859540e+02,6.844186046511626387e+01,2.538952735230716851e+00,1.000000000000000000e+00,6.165754530113880527e-01,1.000000000000000000e+00,1.539300447530823988e+02,1.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,2.650000000000000000e+01,2.650000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.020000000000000000e+02,8.350000000000000000e+02,6.000000000000000000e+00,5.906976744186046346e+00,6.530232558139533694e+02,7.079069767441859540e+01,2.405228464604173055e+00,1.000000000000000000e+00,4.979295977319691535e-01,1.000000000000000000e+00,2.166441840422651239e+02,1.000000000000000000e+00,0.000000000000000000e+00,-3.000000000000000000e+00,0.000000000000000000e+00,-2.650000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
