Time,raw_INTAKE_PRESSURE,raw_RPM,raw_SPEED,ma_43_SPEED,ma_43_RPM,ma_43_INTAKE_PRESSURE,std_w11_SPEED,std_w25_SPEED,std_w11_INTAKE_PRESSURE,std_w25_INTAKE_PRESSURE,std_w11_RPM,std_w25_RPM,d1_SPEED,d2_SPEED,d1_RPM,d2_RPM,d1_INTAKE_PRESSURE,d2_INTAKE_PRESSURE
0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,8.139534883720931369e-01,3.937790697674417970e+02,5.000000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.010000000000000000e+02,7.520000000000000000e+02,0.000000000000000000e+00,1.023255813953488413e+00,4.122325581395348308e+02,5.239534883720930480e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.530000000000000000e+02,7.530000000000000000e+02,1.020000000000000000e+02,1.020000000000000000e+02
2.000000000000000000e+00,1.010000000000000000e+02,7.775000000000000000e+02,0.000000000000000000e+00,1.232558139534883690e+00,4.306860465116278647e+02,5.479069767441860961e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,2.550000000000000000e+01,-7.275000000000000000e+02,0.000000000000000000e+00,-1.020000000000000000e+02
3.000000000000000000e+00,1.010000000000000000e+02,7.775000000000000000e+02,0.000000000000000000e+00,1.465116279069767380e+00,4.614883720930232016e+02,5.718604651162791441e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.550000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.010000000000000000e+02,7.560000000000000000e+02,0.000000000000000000e+00,1.697674418604651070e+00,4.922906976744185386e+02,5.965116279069768268e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.150000000000000000e+01,-2.150000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.010000000000000000e+02,7.560000000000000000e+02,0.000000000000000000e+00,1.976744186046511587e+00,5.315232558139533694e+02,6.211627906976745095e+01,6.428243465332250661e-01,1.000000000000000000e+00,2.944163577920512864e+01,1.000000000000000000e+00,2.192792193370312077e+02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.150000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.010000000000000000e+02,7.655000000000000000e+02,1.000000000000000000e+00,2.255813953488372103e+00,5.707558139534882002e+02,6.458139534883721922e+01,4.979295977319691535e-01,1.000000000000000000e+00,4.979295977319691535e-01,1.000000000000000000e+00,1.089260117375911818e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000000e+00,9.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.020000000000000000e+02,7.655000000000000000e+02,1.000000000000000000e+00,2.558139534883721034e+00,6.024418604651160649e+02,6.711627906976745805e+01,6.165754530113880527e-01,1.000000000000000000e+00,4.979295977319691535e-01,1.000000000000000000e+00,1.071320340853879571e+01,1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-9.500000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.020000000000000000e+02,7.655000000000000000e+02,1.000000000000000000e+00,2.860465116279069964e+00,6.341279069767439296e+02,6.965116279069769689e+01,6.680426571226848464e-01,1.000000000000000000e+00,4.810456929208347110e-01,1.000000000000000000e+00,9.207210613031900692e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00
9.000000000000000000e+00,1.020000000000000000e+02,7.470000000000000000e+02,1.000000000000000000e+00,3.023255813953488413e+00,6.513720930232555020e+02,7.206976744186049189e+01,8.331955809010618275e-01,1.000000000000000000e+00,4.453617714151232865e-01,1.000000000000000000e+00,6.837246074575459964e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.850000000000000000e+01,-1.850000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.020000000000000000e+02,7.470000000000000000e+02,1.000000000000000000e+00,3.116279069767442067e+00,6.686162790697671880e+02,7.448837209302328688e+01,8.907235428302465730e-01,1.000000000000000000e+00,3.856946079199350397e-01,1.000000000000000000e+00,6.837246074575459964e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.850000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,1.020000000000000000e+02,7.470000000000000000e+02,1.000000000000000000e+00,3.209302325581395721e+00,6.858953488372090987e+02,7.686046511627910149e+01,1.028518954453160106e+00,1.000000000000000000e+00,2.874797872880344163e-01,1.000000000000000000e+00,6.839058946428760777e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,1.020000000000000000e+02,7.555000000000000000e+02,2.000000000000000000e+00,3.302325581395349374e+00,7.031744186046510094e+02,7.923255813953491611e+01,1.164204406805972480e+00,3.099935483199609987e+00,8.624393618641034154e-01,2.032905310141129007e+01,6.145279717792945462e+00,2.288915953022303711e+02,1.000000000000000000e+00,1.000000000000000000e+00,8.500000000000000000e+00,8.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,1.020000000000000000e+02,7.555000000000000000e+02,2.000000000000000000e+00,3.604651162790698304e+00,7.263953488372090987e+02,8.158139534883724764e+01,1.279204298133662654e+00,3.340419135378073889e+00,1.157083823759805119e+00,1.546091847207015091e+00,1.299697994163666515e+01,1.886316558799185259e+02,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-8.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,1.020000000000000000e+02,7.560000000000000000e+02,3.000000000000000000e+00,3.906976744186047235e+00,7.496162790697671880e+02,8.393023255813957917e+01,1.378704626191191052e+00,3.721075113458474526e+00,1.336085314245369915e+00,1.641462762294655153e+00,1.688793887183521747e+01,2.491236592537930790e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,1.020000000000000000e+02,7.560000000000000000e+02,3.000000000000000000e+00,4.209302325581395721e+00,7.926744186046508958e+02,8.660465116279074493e+01,1.772144426328902567e+00,4.009189444264264601e+00,1.443137078762504188e+00,1.708332520325009929e+00,1.344157083254338261e+02,2.933678005507762236e+02,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,1.020000000000000000e+02,7.555000000000000000e+02,4.000000000000000000e+00,4.674418604651163101e+00,8.357325581395346035e+02,8.927906976744191070e+01,1.991718390927876836e+00,4.299581374971288561e+00,1.493788793195907516e+00,2.017523234066958882e+00,1.790462219282408114e+02,3.041560428464310348e+02,1.000000000000000000e+00,1.000000000000000000e+00,-5.000000000000000000e-01,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,1.050000000000000000e+02,7.555000000000000000e+02,4.000000000000000000e+00,5.139534883720930480e+00,8.924302325581392097e+02,9.202325581395353993e+01,2.571297386132899820e+00,4.512028368705143677e+00,1.437398936440172248e+00,2.239999999999999769e+00,1.771592877134600030e+02,3.122758741881928017e+02,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.800000000000000000e+01,1.050000000000000000e+02,7.955000000000000000e+02,0.000000000000000000e+00,5.604651162790697860e+00,9.408255813953485358e+02,9.476744186046516916e+01,2.948595407313973293e+00,4.411621017267915335e+00,1.372697170049227200e+00,2.172556098240043365e+00,1.756102700360908955e+02,3.126826992335840600e+02,-4.000000000000000000e+00,-4.000000000000000000e+00,4.000000000000000000e+01,4.000000000000000000e+01,0.000000000000000000e+00,-3.000000000000000000e+00
1.900000000000000000e+01,1.050000000000000000e+02,7.955000000000000000e+02,0.000000000000000000e+00,5.976744186046511587e+00,9.892209302325578619e+02,9.744186046511633492e+01,3.287843876368204299e+00,4.334789498926101103e+00,1.298441532462336179e+00,2.096091601051824238e+00,2.174153392750063460e+02,3.133379925894719804e+02,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,-4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,1.050000000000000000e+02,1.226000000000000000e+03,6.000000000000000000e+00,6.348837209302325313e+00,1.019104651162790447e+03,1.001162790697675007e+02,3.525585350848239319e+00,4.253187040326348090e+00,1.348399724926484078e+00,2.096091601051824238e+00,2.415924784007869448e+02,3.139462718364401894e+02,6.000000000000000000e+00,6.000000000000000000e+00,4.305000000000000000e+02,4.305000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,1.050000000000000000e+02,1.226000000000000000e+03,6.000000000000000000e+00,6.720930232558139039e+00,1.048988372093022917e+03,1.026279069767442422e+02,3.867644979305936204e+00,4.166533331199931744e+00,1.298441532462336401e+00,2.096091601051824238e+00,3.093280908171694819e+02,3.145507997128603392e+02,0.000000000000000000e+00,-6.000000000000000000e+00,0.000000000000000000e+00,-4.305000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
