raw_INTAKE_PRESSURE,raw_RPM,raw_SPEED,ma_43_SPEED,ma_43_RPM,ma_43_INTAKE_PRESSURE,std_w11_SPEED,std_w25_SPEED,std_w11_INTAKE_PRESSURE,std_w25_INTAKE_PRESSURE,std_w11_RPM,std_w25_RPM,d1_SPEED,d2_SPEED,d1_RPM,d2_RPM,d1_INTAKE_PRESSURE,d2_INTAKE_PRESSURE
0.000000000000000000e+00,-4.105284665384322906e+00,-2.657379813070687824e+00,-1.316143999399665310e+00,-1.304733236866105983e+00,-2.218843061240153069e+00,-2.903440351320113688e+00,-5.869218192728355987e-01,-8.123578484869367067e-01,-7.227356279543100115e-01,-9.712046466517781917e-01,-8.727280102665599948e-01,-1.039656582169905308e+00,-9.740497402403797871e-04,0.000000000000000000e+00,-2.057142905762907904e-03,6.502757122754517719e-05,-1.260136176687432288e-03,1.198720602788317513e-04
1.000000000000000000e+00,-6.215662062460054482e-01,-1.168817513333889169e+00,-1.291558334831872878e+00,-1.301222606994210995e+00,-2.163550815291645169e+00,-2.803133163412466100e+00,-5.869218192728355987e-01,-8.123578484869367067e-01,-7.227356279543100115e-01,-9.712046466517781917e-01,-8.727280102665599948e-01,-1.039656582169905308e+00,4.410984248678561648e-01,3.251841347624950807e-01,5.364665094074706708e+00,3.788723667304497944e+00,9.703355809511595709e+00,6.833784822581527862e+00
2.000000000000000000e+00,-6.215662062460054482e-01,-1.171570711175572432e+00,-1.291558334831872878e+00,-1.294201347250421241e+00,-2.074204077532957324e+00,-2.692216561399201957e+00,-5.869218192728355987e-01,-8.123578484869367067e-01,-7.227356279543100115e-01,-9.712046466517781917e-01,-8.727280102665599948e-01,-1.039656582169905308e+00,-9.740497402403797871e-04,-3.251841347624950807e-01,-1.198326294949990378e-02,-3.795600995589416549e+00,-1.260136176687432288e-03,-6.833545078460970146e+00
3.000000000000000000e+00,-6.215662062460054482e-01,-1.171570711175572432e+00,-1.291558334831872878e+00,-1.287180087506631487e+00,-1.984857339774269924e+00,-2.581299959385938259e+00,-5.869218192728355987e-01,-8.123578484869367067e-01,-7.227356279543100115e-01,-9.712046466517781917e-01,-8.727280102665599948e-01,-1.039656582169905308e+00,-9.740497402403797871e-04,0.000000000000000000e+00,-2.057142905762907904e-03,7.072410998601041596e-03,-1.260136176687432288e-03,1.198720602788317513e-04
4.000000000000000000e+00,-6.215662062460054482e-01,-1.247742518128811762e+00,-1.291558334831872878e+00,-1.276648197890946523e+00,-1.873655471303465658e+00,-2.467489880798415136e+00,-5.869218192728355987e-01,-8.123578484869367067e-01,-7.227356279543100115e-01,-9.712046466517781917e-01,-8.727280102665599948e-01,-1.039656582169905308e+00,-9.740497402403797871e-04,0.000000000000000000e+00,-2.766797974491531087e-01,-1.938059139194392155e-01,-1.260136176687432288e-03,1.198720602788317513e-04
5.000000000000000000e+00,-6.215662062460054482e-01,-1.247742518128811762e+00,-1.291558334831872878e+00,-1.263775888360665345e+00,-1.762453602832661392e+00,-2.353679802210891570e+00,-5.478034084563170314e-01,-8.123578484869367067e-01,2.331309686489318800e+00,-9.712046466517781917e-01,7.607578189128477719e-01,-1.039656582169905308e+00,-9.740497402403797871e-04,0.000000000000000000e+00,-2.057142905762907904e-03,1.939359690618942811e-01,-1.260136176687432288e-03,1.198720602788317513e-04
6.000000000000000000e+00,-5.877436969339829842e-01,-1.187172165611778185e+00,-1.242387005696287572e+00,-1.250903578830384166e+00,-1.677181550460978832e+00,-2.244692184580467043e+00,-5.883501734829936769e-01,-8.123578484869367067e-01,-7.760545997335691615e-01,-9.712046466517781917e-01,-7.430323642881490054e-01,-1.039656582169905308e+00,8.831708994759526199e-01,6.503682695249901613e-01,2.163174980564510075e-01,1.542274629734444735e-01,9.295943611154833253e-02,6.646613371582493768e-02
7.000000000000000000e+00,-5.877436969339829842e-01,-1.187172165611778185e+00,-1.242387005696287572e+00,-1.236275954364155272e+00,-1.591909498089295827e+00,-2.135704566950042960e+00,-5.999982463687675294e-01,-8.123578484869367067e-01,-7.778476399926281815e-01,-9.712046466517781917e-01,-7.246081952446713492e-01,-1.039656582169905308e+00,-9.740497402403797871e-04,-6.503682695249901613e-01,-2.057142905762907904e-03,-1.540974078309893802e-01,-1.260136176687432288e-03,-6.622638959526727653e-02
8.000000000000000000e+00,-5.877436969339829842e-01,-1.159640187194944660e+00,-1.242387005696287572e+00,-1.221648329897926377e+00,-1.510391095286248264e+00,-2.032503902468136392e+00,-5.999982463687675294e-01,-8.123578484869367067e-01,-7.593150897641172126e-01,-9.712046466517781917e-01,-7.137986445618604847e-01,-1.039656582169905308e+00,-9.740497402403797871e-04,0.000000000000000000e+00,9.720405753160704654e-02,7.013886184496251341e-02,-1.260136176687432288e-03,1.198720602788317513e-04
9.000000000000000000e+00,-5.877436969339829842e-01,-1.197267224364616967e+00,-1.242387005696287572e+00,-1.205850495474399375e+00,-1.420945577275754212e+00,-1.929303237986229824e+00,-5.999982463687675294e-01,-8.123578484869367067e-01,-7.458836947746549928e-01,-9.712046466517781917e-01,-7.067773478400458664e-01,-1.039656582169905308e+00,-9.740497402403797871e-04,0.000000000000000000e+00,-1.377141168368351820e-01,-1.657763802099452288e-01,-1.260136176687432288e-03,1.198720602788317513e-04
1.000000000000000000e+01,-5.877436969339829842e-01,-1.197267224364616967e+00,-1.242387005696287572e+00,-1.190052661050872373e+00,-1.331500059265260827e+00,-1.827067065695742842e+00,-5.999982463687675294e-01,-8.123578484869367067e-01,-7.353311231157066974e-01,-9.712046466517781917e-01,-7.181698037675808832e-01,-1.039656582169905308e+00,-9.740497402403797871e-04,0.000000000000000000e+00,-2.057142905762907904e-03,9.583260107866534150e-02,-1.260136176687432288e-03,1.198720602788317513e-04
