raw_RPM,raw_SPEED,ma_12_RPM,ma_12_SPEED,d1_RPM,d2_RPM,d1_SPEED,d2_SPEED
0.000000000000000000e+00,-2.657648762007283061e+00,-1.316239373591974848e+00,-2.174893566429243918e+00,-1.296507221131462106e+00,-2.148642104456053269e-03,7.463534929244180073e-07,-9.740765687880125010e-04,0.000000000000000000e+00
1.000000000000000000e+00,-1.177249646682480444e+00,-1.291653256510572723e+00,-2.055158149957555302e+00,-1.294447231434677326e+00,5.335692946259562142e+00,3.767900599066058120e+00,4.410862222614317929e-01,3.251751783723601519e-01
2.000000000000000000e+00,-1.172660684762688588e+00,-1.291653256510572723e+00,-1.935422733485866686e+00,-1.292387241737892545e+00,1.439767404050370722e-02,-3.756219317602988106e+00,-9.740765687880125010e-04,-3.251751783723601519e-01
3.000000000000000000e+00,-1.172660684762688588e+00,-1.291653256510572723e+00,-1.764640498941323132e+00,-1.286207272647538202e+00,-2.148642104456053269e-03,-1.167904240259066105e-02,-9.740765687880125010e-04,0.000000000000000000e+00
4.000000000000000000e+00,-1.171742892378730305e+00,-1.267067139429170819e+00,-1.593858264396779800e+00,-1.280027303557183860e+00,1.160621124535898656e-03,2.336704104709641776e-03,4.410862222614317929e-01,3.251751783723601519e-01
5.000000000000000000e+00,-1.171742892378730305e+00,-1.267067139429170819e+00,-1.363535021252058277e+00,-1.263547385982905613e+00,-2.148642104456053269e-03,-2.335211397723792933e-03,-9.740765687880125010e-04,-3.251751783723601519e-01
6.000000000000000000e+00,-1.310329542356439614e+00,-1.267067139429170819e+00,-1.133211778107336754e+00,-1.247067468408627366e+00,-5.018473896822407410e-01,-3.527288740802314027e-01,-9.740765687880125010e-04,0.000000000000000000e+00
7.000000000000000000e+00,-1.310329542356439614e+00,-1.267067139429170819e+00,-8.582940346941693166e-01,-1.216167622956855654e+00,-2.148642104456053269e-03,3.527303667872172532e-01,-9.740765687880125010e-04,0.000000000000000000e+00
8.000000000000000000e+00,-7.367093023824770048e-01,-1.217894905266366568e+00,-7.151179193634260578e-01,-1.187327767201868722e+00,2.066140876015514216e+00,1.459974340863941178e+00,8.831465210916515929e-01,6.503503567447203038e-01
9.000000000000000000e+00,-7.367093023824770048e-01,-1.217894905266366568e+00,-6.181698024794597401e-01,-1.146127973266173106e+00,-2.148642104456053269e-03,-1.459972848156955383e+00,-9.740765687880125010e-04,-6.503503567447203038e-01
1.000000000000000000e+01,-6.763865447684701271e-02,-1.094964319859356383e+00,-5.212216855954941996e-01,-1.104928179330477711e+00,2.410304251830677202e+00,1.702913946990479932e+00,2.209327417582310993e+00,1.625875891861800593e+00
1.100000000000000000e+01,-6.763865447684701271e-02,-1.094964319859356383e+00,-4.782606835053789252e-01,-1.071968344181921218e+00,-2.148642104456053269e-03,-1.702912454283493915e+00,-9.740765687880125010e-04,-1.625875891861800593e+00
1.200000000000000000e+01,4.316404023964900971e-01,-9.474476173709439619e-01,-4.352996814152636507e-01,-1.053428436910858190e+00,1.798090554467165925e+00,1.270761763015387125e+00,2.651387716412530793e+00,1.951051070234160800e+00
1.300000000000000000e+01,4.316404023964900971e-01,-9.474476173709439619e-01,-4.295007628821879142e-01,-1.034888529639795163e+00,-2.148642104456053269e-03,-1.270760270308401330e+00,-9.740765687880125010e-04,-1.951051070234160800e+00
1.400000000000000000e+01,-8.324112500413879956e-02,-7.999309148825315408e-01,-4.237018443491121777e-01,-1.022528591459086478e+00,-1.858645313568940916e+00,-1.310471552079085500e+00,2.651387716412530793e+00,1.951051070234160800e+00
1.500000000000000000e+01,-8.324112500413879956e-02,-7.999309148825315408e-01,-4.657644224411440215e-01,-1.014288632671947132e+00,-2.148642104456053269e-03,1.310473044786071295e+00,-9.740765687880125010e-04,-1.951051070234160800e+00
1.600000000000000000e+01,-6.889840984166433202e-01,-8.736892661267376958e-01,-5.086437496223426002e-01,-1.006048673884808009e+00,-2.186262373239144186e+00,-1.541731369449540479e+00,-1.327154973059447407e+00,-9.755255351170804001e-01
1.700000000000000000e+01,-6.889840984166433202e-01,-1.045792085696552132e+00,-6.110640854037188152e-01,-1.018408612065516916e+00,-2.148642104456053269e-03,1.541732862156526274e+00,-3.095396168380326607e+00,-1.300700713489440608e+00
