raw_RPM,raw_SPEED,ma_12_RPM,ma_12_SPEED,d1_RPM,d2_RPM,d1_SPEED,d2_SPEED
0.000000000000000000e+00,-2.657648762007283061e+00,-1.316239373591974848e+00,-2.165092577359255532e+00,-1.300627200525031668e+00,-2.148642104456053269e-03,7.463534929244180073e-07,-9.740765687880125010e-04,0.000000000000000000e+00
1.000000000000000000e+00,-1.152469252315605264e+00,-1.291653256510572723e+00,-2.030737352191501532e+00,-1.300627200525031668e+00,5.425043053442345276e+00,3.830971458348909398e+00,4.410862222614317929e-01,3.251751783723601519e-01
2.000000000000000000e+00,-1.153387044699563546e+00,-1.291653256510572723e+00,-1.896872176477246930e+00,-1.300627200525031668e+00,-5.457905333448005193e-03,-3.833305923393139913e+00,-9.740765687880125010e-04,-3.251751783723601519e-01
3.000000000000000000e+00,-1.153387044699563546e+00,-1.291653256510572723e+00,-1.763007000762992105e+00,-1.300627200525031668e+00,-2.148642104456053269e-03,2.336704104709641776e-03,-9.740765687880125010e-04,0.000000000000000000e+00
4.000000000000000000e+00,-1.150633667547688477e+00,-1.291653256510572723e+00,-1.629141825048737502e+00,-1.300627200525031668e+00,7.779147582519803372e-03,7.008619607143076052e-03,-9.740765687880125010e-04,0.000000000000000000e+00
5.000000000000000000e+00,-1.146044705627896843e+00,-1.291653256510572723e+00,-1.495276649334482899e+00,-1.300627200525031668e+00,1.439767404050370722e-02,4.672661855926359131e-03,-9.740765687880125010e-04,0.000000000000000000e+00
6.000000000000000000e+00,-1.146044705627896843e+00,-1.291653256510572723e+00,-1.361084773984561735e+00,-1.300627200525031668e+00,-2.148642104456053269e-03,-1.167904240259066105e-02,-9.740765687880125010e-04,0.000000000000000000e+00
7.000000000000000000e+00,-1.151551459931646759e+00,-1.291653256510572723e+00,-1.226729548816807291e+00,-1.298567210828246887e+00,-2.200422147840776568e-02,-1.401500015380737797e-02,-9.740765687880125010e-04,0.000000000000000000e+00
8.000000000000000000e+00,-1.151551459931646759e+00,-1.291653256510572723e+00,-1.226811223725723599e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,1.401649286079322855e-02,-9.740765687880125010e-04,0.000000000000000000e+00
9.000000000000000000e+00,-1.151551459931646759e+00,-1.291653256510572723e+00,-1.226811223725723599e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,7.463534929244180073e-07,-9.740765687880125010e-04,0.000000000000000000e+00
1.000000000000000000e+01,-1.151551459931646759e+00,-1.291653256510572723e+00,-1.226484524090057038e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,7.463534929244180073e-07,-9.740765687880125010e-04,0.000000000000000000e+00
1.100000000000000000e+01,-1.147880290395813407e+00,-1.291653256510572723e+00,-1.226402849181141175e+00,-1.298567210828246887e+00,1.108841081151175530e-02,9.344577358359794708e-03,-9.740765687880125010e-04,0.000000000000000000e+00
1.200000000000000000e+01,-1.147880290395813407e+00,-1.291653256510572723e+00,-1.226729548816807291e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,-9.343084651373944130e-03,-9.740765687880125010e-04,0.000000000000000000e+00
1.300000000000000000e+01,-1.153387044699563546e+00,-1.291653256510572723e+00,-1.227056248452473408e+00,-1.298567210828246887e+00,-2.200422147840776568e-02,-1.401500015380737797e-02,-9.740765687880125010e-04,0.000000000000000000e+00
1.400000000000000000e+01,-1.153387044699563546e+00,-1.291653256510572723e+00,-1.226892898634640572e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,1.401649286079322855e-02,-9.740765687880125010e-04,0.000000000000000000e+00
1.500000000000000000e+01,-1.149715875163730194e+00,-1.291653256510572723e+00,-1.226729548816807291e+00,-1.298567210828246887e+00,1.108841081151175530e-02,9.344577358359794708e-03,-9.740765687880125010e-04,0.000000000000000000e+00
1.600000000000000000e+01,-1.149715875163730194e+00,-1.291653256510572723e+00,-1.226566198998974011e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,-9.343084651373944130e-03,-9.740765687880125010e-04,0.000000000000000000e+00
1.700000000000000000e+01,-1.149715875163730194e+00,-1.291653256510572723e+00,-1.226484524090057704e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,7.463534929244180073e-07,-9.740765687880125010e-04,0.000000000000000000e+00
1.800000000000000000e+01,-1.149715875163730194e+00,-1.291653256510572723e+00,-1.226729548816806625e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,7.463534929244180073e-07,-9.740765687880125010e-04,0.000000000000000000e+00
1.900000000000000000e+01,-1.149715875163730194e+00,-1.291653256510572723e+00,-1.226974573543556435e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,7.463534929244180073e-07,-9.740765687880125010e-04,0.000000000000000000e+00
2.000000000000000000e+01,-1.149715875163730194e+00,-1.291653256510572723e+00,-1.226729548816806625e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,7.463534929244180073e-07,-9.740765687880125010e-04,0.000000000000000000e+00
2.100000000000000000e+01,-1.149715875163730194e+00,-1.291653256510572723e+00,-1.226484524090057038e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,7.463534929244180073e-07,-9.740765687880125010e-04,0.000000000000000000e+00
2.200000000000000000e+01,-1.150633667547688477e+00,-1.291653256510572723e+00,-1.226566198998973789e+00,-1.298567210828246887e+00,-5.457905333448005193e-03,-2.335211397723792933e-03,-9.740765687880125010e-04,0.000000000000000000e+00
2.300000000000000000e+01,-1.150633667547688477e+00,-1.291653256510572723e+00,-1.226647873907890096e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,2.336704104709641776e-03,-9.740765687880125010e-04,0.000000000000000000e+00
2.400000000000000000e+01,-1.150633667547688477e+00,-1.291653256510572723e+00,-1.226729548816806625e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,7.463534929244180073e-07,-9.740765687880125010e-04,0.000000000000000000e+00
2.500000000000000000e+01,-1.150633667547688477e+00,-1.291653256510572723e+00,-1.226647873907890762e+00,-1.298567210828246887e+00,-2.148642104456053269e-03,7.463534929244180073e-07,-9.740765687880125010e-04,0.000000000000000000e+00
