# Time,raw_RPM,raw_SPEED
0.000000000000000000e+00,8.175000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+00,nan,nan
2.000000000000000000e+00,8.195000000000000000e+02,nan
3.000000000000000000e+00,nan,nan
4.000000000000000000e+00,8.235000000000000000e+02,nan
5.000000000000000000e+00,nan,nan
6.000000000000000000e+00,1.265000000000000000e+03,5.000000000000000000e+00
7.000000000000000000e+00,nan,nan
8.000000000000000000e+00,1.285500000000000000e+03,1.300000000000000000e+01
9.000000000000000000e+00,nan,nan
1.000000000000000000e+01,8.385000000000000000e+02,1.500000000000000000e+01
1.100000000000000000e+01,nan,nan
1.200000000000000000e+01,8.020000000000000000e+02,1.400000000000000000e+01
1.300000000000000000e+01,nan,nan
1.400000000000000000e+01,8.030000000000000000e+02,1.200000000000000000e+01
1.500000000000000000e+01,nan,nan
1.600000000000000000e+01,1.378500000000000000e+03,1.400000000000000000e+01
1.700000000000000000e+01,nan,nan
1.800000000000000000e+01,8.360000000000000000e+02,1.600000000000000000e+01
1.900000000000000000e+01,nan,nan
2.000000000000000000e+01,1.059500000000000000e+03,1.300000000000000000e+01
2.100000000000000000e+01,nan,nan
2.200000000000000000e+01,1.029500000000000000e+03,1.600000000000000000e+01
2.300000000000000000e+01,nan,nan
2.400000000000000000e+01,1.247000000000000000e+03,nan
2.500000000000000000e+01,nan,nan
2.600000000000000000e+01,8.005000000000000000e+02,1.400000000000000000e+01
2.700000000000000000e+01,nan,nan
2.800000000000000000e+01,7.780000000000000000e+02,1.000000000000000000e+01
2.900000000000000000e+01,nan,nan
3.000000000000000000e+01,1.473500000000000000e+03,1.500000000000000000e+01
3.100000000000000000e+01,nan,nan
3.200000000000000000e+01,1.652500000000000000e+03,2.100000000000000000e+01
3.300000000000000000e+01,nan,nan
3.400000000000000000e+01,1.860000000000000000e+03,2.800000000000000000e+01
3.500000000000000000e+01,nan,nan
3.600000000000000000e+01,1.318000000000000000e+03,2.900000000000000000e+01
3.700000000000000000e+01,nan,2.700000000000000000e+01
3.800000000000000000e+01,1.186000000000000000e+03,nan
3.900000000000000000e+01,nan,1.700000000000000000e+01
4.000000000000000000e+01,8.065000000000000000e+02,nan
4.100000000000000000e+01,nan,nan
4.200000000000000000e+01,7.810000000000000000e+02,1.000000000000000000e+00
4.300000000000000000e+01,nan,4.000000000000000000e+00
4.400000000000000000e+01,1.471500000000000000e+03,nan
4.500000000000000000e+01,nan,1.400000000000000000e+01
4.600000000000000000e+01,1.766500000000000000e+03,nan
4.700000000000000000e+01,nan,2.300000000000000000e+01
4.800000000000000000e+01,1.639000000000000000e+03,nan
4.900000000000000000e+01,1.831000000000000000e+03,2.800000000000000000e+01
5.000000000000000000e+01,nan,nan
