# Time,raw_RPM,raw_SPEED
0.000000000000000000e+00,7.950000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+00,8.000000000000000000e+02,nan
2.000000000000000000e+00,nan,nan
3.000000000000000000e+00,7.960000000000000000e+02,nan
4.000000000000000000e+00,nan,nan
5.000000000000000000e+00,nan,nan
6.000000000000000000e+00,7.930000000000000000e+02,nan
7.000000000000000000e+00,nan,nan
8.000000000000000000e+00,7.950000000000000000e+02,nan
9.000000000000000000e+00,7.975000000000000000e+02,nan
1.000000000000000000e+01,nan,nan
1.100000000000000000e+01,8.015000000000000000e+02,nan
1.200000000000000000e+01,nan,nan
1.300000000000000000e+01,8.020000000000000000e+02,nan
1.400000000000000000e+01,7.995000000000000000e+02,nan
1.500000000000000000e+01,nan,nan
1.600000000000000000e+01,7.990000000000000000e+02,nan
1.700000000000000000e+01,nan,nan
1.800000000000000000e+01,7.980000000000000000e+02,nan
1.900000000000000000e+01,7.990000000000000000e+02,nan
2.000000000000000000e+01,nan,nan
2.100000000000000000e+01,7.965000000000000000e+02,nan
2.200000000000000000e+01,nan,nan
2.300000000000000000e+01,nan,nan
2.400000000000000000e+01,nan,nan
2.500000000000000000e+01,8.000000000000000000e+02,nan
2.600000000000000000e+01,nan,nan
2.700000000000000000e+01,7.930000000000000000e+02,nan
2.800000000000000000e+01,7.990000000000000000e+02,nan
2.900000000000000000e+01,nan,nan
3.000000000000000000e+01,7.980000000000000000e+02,nan
3.100000000000000000e+01,nan,nan
3.200000000000000000e+01,7.960000000000000000e+02,nan
3.300000000000000000e+01,7.995000000000000000e+02,nan
3.400000000000000000e+01,nan,nan
3.500000000000000000e+01,7.960000000000000000e+02,nan
3.600000000000000000e+01,nan,nan
3.700000000000000000e+01,7.985000000000000000e+02,nan
3.800000000000000000e+01,7.980000000000000000e+02,nan
3.900000000000000000e+01,nan,nan
4.000000000000000000e+01,nan,nan
4.100000000000000000e+01,nan,nan
4.200000000000000000e+01,nan,nan
4.300000000000000000e+01,7.940000000000000000e+02,nan
4.400000000000000000e+01,nan,nan
4.500000000000000000e+01,7.985000000000000000e+02,nan
4.600000000000000000e+01,nan,nan
4.700000000000000000e+01,7.980000000000000000e+02,nan
4.800000000000000000e+01,nan,nan
4.900000000000000000e+01,7.950000000000000000e+02,nan
5.000000000000000000e+01,7.965000000000000000e+02,nan
5.100000000000000000e+01,nan,nan
5.200000000000000000e+01,7.955000000000000000e+02,nan
5.300000000000000000e+01,nan,nan
5.400000000000000000e+01,nan,nan
5.500000000000000000e+01,7.960000000000000000e+02,nan
5.600000000000000000e+01,nan,nan
5.700000000000000000e+01,7.955000000000000000e+02,0.000000000000000000e+00
5.800000000000000000e+01,7.965000000000000000e+02,nan
5.900000000000000000e+01,nan,nan
6.000000000000000000e+01,7.960000000000000000e+02,nan
6.100000000000000000e+01,nan,nan
6.200000000000000000e+01,7.940000000000000000e+02,nan
6.300000000000000000e+01,7.925000000000000000e+02,nan
6.400000000000000000e+01,nan,nan
6.500000000000000000e+01,7.985000000000000000e+02,nan
6.600000000000000000e+01,7.935000000000000000e+02,nan
6.700000000000000000e+01,nan,nan
6.800000000000000000e+01,7.925000000000000000e+02,nan
6.900000000000000000e+01,nan,nan
7.000000000000000000e+01,7.970000000000000000e+02,nan
7.100000000000000000e+01,7.915000000000000000e+02,nan
7.200000000000000000e+01,nan,nan
7.300000000000000000e+01,7.910000000000000000e+02,nan
7.400000000000000000e+01,nan,nan
7.500000000000000000e+01,7.965000000000000000e+02,nan
7.600000000000000000e+01,7.940000000000000000e+02,nan
