# Time,raw_RPM,raw_SPEED
7.300000000000000000e+01,1.536000000000000000e+03,nan
7.400000000000000000e+01,1.448500000000000000e+03,3.300000000000000000e+01
7.500000000000000000e+01,nan,nan
7.600000000000000000e+01,1.142000000000000000e+03,2.700000000000000000e+01
7.700000000000000000e+01,nan,nan
7.800000000000000000e+01,8.550000000000000000e+02,2.100000000000000000e+01
7.900000000000000000e+01,nan,nan
8.000000000000000000e+01,8.165000000000000000e+02,1.400000000000000000e+01
8.100000000000000000e+01,nan,nan
8.200000000000000000e+01,7.990000000000000000e+02,2.000000000000000000e+00
8.300000000000000000e+01,nan,nan
8.400000000000000000e+01,1.985000000000000000e+02,0.000000000000000000e+00
8.500000000000000000e+01,nan,nan
8.600000000000000000e+01,0.000000000000000000e+00,nan
8.700000000000000000e+01,nan,nan
8.800000000000000000e+01,nan,nan
8.900000000000000000e+01,nan,nan
9.000000000000000000e+01,nan,nan
9.100000000000000000e+01,nan,nan
9.200000000000000000e+01,nan,nan
9.300000000000000000e+01,nan,nan
9.400000000000000000e+01,nan,nan
9.500000000000000000e+01,nan,nan
9.600000000000000000e+01,nan,nan
9.700000000000000000e+01,nan,nan
9.800000000000000000e+01,nan,nan
9.900000000000000000e+01,nan,nan
1.000000000000000000e+02,nan,nan
1.010000000000000000e+02,nan,nan
1.020000000000000000e+02,nan,nan
1.030000000000000000e+02,nan,nan
1.040000000000000000e+02,nan,nan
1.050000000000000000e+02,nan,nan
1.060000000000000000e+02,nan,nan
1.070000000000000000e+02,nan,nan
1.080000000000000000e+02,nan,nan
1.090000000000000000e+02,nan,nan
1.100000000000000000e+02,nan,nan
1.110000000000000000e+02,nan,nan
1.120000000000000000e+02,nan,nan
1.130000000000000000e+02,nan,nan
1.140000000000000000e+02,nan,nan
1.150000000000000000e+02,nan,nan
1.160000000000000000e+02,nan,nan
1.170000000000000000e+02,nan,nan
1.180000000000000000e+02,nan,nan
1.190000000000000000e+02,nan,nan
1.200000000000000000e+02,nan,nan
1.210000000000000000e+02,nan,nan
1.220000000000000000e+02,nan,nan
1.230000000000000000e+02,nan,nan
1.240000000000000000e+02,nan,nan
1.250000000000000000e+02,nan,nan
1.260000000000000000e+02,nan,nan
1.270000000000000000e+02,nan,nan
1.280000000000000000e+02,nan,nan
1.290000000000000000e+02,nan,nan
1.300000000000000000e+02,nan,nan
1.310000000000000000e+02,nan,nan
1.320000000000000000e+02,nan,nan
1.330000000000000000e+02,nan,nan
1.340000000000000000e+02,nan,nan
1.350000000000000000e+02,nan,nan
1.360000000000000000e+02,nan,nan
1.370000000000000000e+02,nan,nan
1.380000000000000000e+02,nan,nan
1.390000000000000000e+02,nan,nan
1.400000000000000000e+02,nan,nan
1.410000000000000000e+02,nan,nan
1.420000000000000000e+02,nan,nan
1.430000000000000000e+02,nan,nan
1.440000000000000000e+02,nan,nan
1.450000000000000000e+02,1.488500000000000000e+03,4.000000000000000000e+00
1.460000000000000000e+02,nan,nan
1.470000000000000000e+02,1.719500000000000000e+03,1.600000000000000000e+01
1.480000000000000000e+02,nan,nan
1.490000000000000000e+02,1.622500000000000000e+03,2.400000000000000000e+01
